"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"CD3E"	"CD3E"	1.65002502108282	-1.28094196376344	-0.45996475737372	"IS01"	1.65002502108282
"IKZF3"	"IKZF3"	1.64181582690033	-1.27958461442389	-0.452256209211594	"IS01"	1.64181582690033
"TIGIT"	"TIGIT"	1.6076147932719	-1.20356746320921	-0.496178444501688	"IS01"	1.6076147932719
"CD27"	"CD27"	1.60729038774218	-1.15132531613101	-0.552271774875605	"IS01"	1.60729038774218
"SPN"	"SPN"	1.60440871493167	-1.36959060980419	-0.313180711279264	"IS01"	1.60440871493167
"TBC1D10C"	"TBC1D10C"	1.60067254487679	-1.33110199144696	-0.350597861047595	"IS01"	1.60067254487679
"TRAT1"	"TRAT1"	1.59194757493771	-1.23318483082855	-0.446661007314834	"IS01"	1.59194757493771
"TRAF3IP3"	"TRAF3IP3"	1.58127007324557	-1.33642002141407	-0.323164832387507	"IS01"	1.58127007324557
"PTPRCAP"	"PTPRCAP"	1.58015807689191	-1.29734731978207	-0.364146203741036	"IS01"	1.58015807689191
"CLEC9A"	"CLEC9A"	1.57966260044014	-1.05439471708411	-0.626141191659481	"IS01"	1.57966260044014
"SCML4"	"SCML4"	1.55378443463169	-1.04552212208973	-0.606805527511133	"IS01"	1.55378443463169
"CD247"	"CD247"	1.55255520441359	-1.41912531754139	-0.201694177499426	"IS01"	1.55255520441359
"ITK"	"ITK"	1.55192625537627	-0.85451897567385	-0.811137810486594	"IS01"	1.55192625537627
"LTA"	"LTA"	1.53872686959026	-1.26178741395903	-0.3562668431073	"IS01"	1.53872686959026
"IL2RG"	"IL2RG"	1.5329089490954	-1.32907465165365	-0.277049658642237	"IS01"	1.5329089490954
"CD48"	"CD48"	1.52509401094126	-1.50248133510075	-0.0809215422806099	"IS01"	1.52509401094126
"HSH2D"	"HSH2D"	1.52238335028735	-1.2315924205531	-0.370630239920991	"IS01"	1.52238335028735
"LCK"	"LCK"	1.52186849562291	-1.39020712304869	-0.198646472833728	"IS01"	1.52186849562291
"CCR7"	"CCR7"	1.51932139736893	-1.11981867348977	-0.487997151715992	"IS01"	1.51932139736893
"UBASH3A"	"UBASH3A"	1.49202387498061	-1.26917205630173	-0.296086841398769	"IS01"	1.49202387498061
"SIT1"	"SIT1"	1.48370122855363	-1.22113825422868	-0.338692790595532	"IS01"	1.48370122855363
"ITGAL"	"ITGAL"	1.47268394624058	-1.18474502094287	-0.365707478598133	"IS01"	1.47268394624058
"PYHIN1"	"PYHIN1"	1.47240806451261	-1.18612321113572	-0.363909773980999	"IS01"	1.47240806451261
"HLA.DOB"	"HLA.DOB"	1.46961174318265	-1.18865104701091	-0.358052611124858	"IS01"	1.46961174318265
"ZBP1"	"ZBP1"	1.4624369467516	-1.20883359224372	-0.328222935862275	"IS01"	1.4624369467516
"C16orf54"	"C16orf54"	1.45946216058891	-1.5373236227774	0.0300874918740579	"IS01"	1.45946216058891
"CXorf65"	"CXorf65"	1.45597595165241	-1.08548260345268	-0.454301797539585	"IS01"	1.45597595165241
"LTB"	"LTB"	1.45164206053596	-1.43693456371517	-0.0696583012755731	"IS01"	1.45164206053596
"PRKCQ"	"PRKCQ"	1.43778668827283	-0.791748780848782	-0.751397673596755	"IS01"	1.43778668827283
"LY9"	"LY9"	1.43520177364451	-1.28387914373986	-0.216683697842636	"IS01"	1.43520177364451
"C11orf21"	"C11orf21"	1.43444356691885	-0.907805375823625	-0.622243543555044	"IS01"	1.43444356691885
"PVRIG"	"PVRIG"	1.4302034635671	-0.859321126066824	-0.669899312755872	"IS01"	1.4302034635671
"ADGRG5"	"ADGRG5"	1.42994401944302	-1.18035468408258	-0.322681710455299	"IS01"	1.42994401944302
"ZNF831"	"ZNF831"	1.42939639776185	-1.08684968035839	-0.423116607283965	"IS01"	1.42939639776185
"MAP4K1"	"MAP4K1"	1.42002135328027	-1.0395928254144	-0.463706681469544	"IS01"	1.42002135328027
"CD69"	"CD69"	1.40044109603089	-1.32327729096708	-0.135255905654462	"IS01"	1.40044109603089
"TLR10"	"TLR10"	1.39928826809126	-0.83097498061899	-0.665978039930198	"IS01"	1.39928826809126
"PTPN7"	"PTPN7"	1.39845426071168	-1.42144772857855	-0.0269465172204295	"IS01"	1.39845426071168
"FLT3"	"FLT3"	1.39511788388461	-0.962392567355458	-0.519299296607069	"IS01"	1.39511788388461
"RLTPR"	"RLTPR"	1.39279995031644	-0.716089935008924	-0.782877570257618	"IS01"	1.39279995031644
"CD40LG"	"CD40LG"	1.38990838624212	-1.26390434358862	-0.187645420069904	"IS01"	1.38990838624212
"MCOLN2"	"MCOLN2"	1.37992302622181	-0.910243216241352	-0.5586717092052	"IS01"	1.37992302622181
"CARD11"	"CARD11"	1.37664886311907	-1.11037877717459	-0.338734009617667	"IS01"	1.37664886311907
"ANO9"	"ANO9"	1.37357123869839	-0.746857371545774	-0.728136636471446	"IS01"	1.37357123869839
"DAPP1"	"DAPP1"	1.37269023928995	-1.60627790932268	0.20158810698348	"IS01"	1.37269023928995
"GPR18"	"GPR18"	1.36560560660208	-1.39469909595222	-0.0191378607245771	"IS01"	1.36560560660208
"RHOH"	"RHOH"	1.36508870125775	-1.07622913957514	-0.362717363000714	"IS01"	1.36508870125775
"MS4A1"	"MS4A1"	1.36490805275328	-1.10400486331532	-0.332499382803242	"IS01"	1.36490805275328
"ZBED2"	"ZBED2"	1.36449426848804	-1.02829313083395	-0.41385542042945	"IS01"	1.36449426848804
"PLA2G2D"	"PLA2G2D"	1.36408453276396	-1.26915809643686	-0.15310470359824	"IS01"	1.36408453276396
"ZAP70"	"ZAP70"	1.36379762350187	-1.19230239740075	-0.23583878594926	"IS01"	1.36379762350187
"IKZF1"	"IKZF1"	1.36124039882243	-1.60138330373765	0.209096145026069	"IS01"	1.36124039882243
"SELL"	"SELL"	1.355062693168	-1.23306976400086	-0.182020195217298	"IS01"	1.355062693168
"SLAMF1"	"SLAMF1"	1.35466980571098	-1.26037937107582	-0.15206870940984	"IS01"	1.35466980571098
"CD226"	"CD226"	1.34730740137742	-0.875833969455603	-0.559402015782165	"IS01"	1.34730740137742
"SLAMF6"	"SLAMF6"	1.33880032554001	-1.50225118904184	0.127049357307495	"IS01"	1.33880032554001
"CD38"	"CD38"	1.3379028058476	-1.36312510088714	-0.0222952698569777	"IS01"	1.3379028058476
"S1PR4"	"S1PR4"	1.33447836906812	-1.37966301697941	-0.000595953827607296	"IS01"	1.33447836906812
"CD3G"	"CD3G"	1.33107521317484	-1.03485724205019	-0.369409531423489	"IS01"	1.33107521317484
"CD52"	"CD52"	1.32703491148097	-1.43828533432279	0.0710742668104164	"IS01"	1.32703491148097
"CD5"	"CD5"	1.32506311067786	-1.17603328831517	-0.210126746290301	"IS01"	1.32506311067786
"NLRC3"	"NLRC3"	1.3163681761017	-0.705512570176811	-0.708880640744002	"IS01"	1.3163681761017
"TBX21"	"TBX21"	1.31226934924836	-1.18158388567469	-0.189828917192102	"IS01"	1.31226934924836
"PTK2B"	"PTK2B"	1.31097742047662	-1.02253172760809	-0.360265990664877	"IS01"	1.31097742047662
"NBEAL2"	"NBEAL2"	1.31072146487144	-0.94872468401368	-0.439740114555933	"IS01"	1.31072146487144
"STAT4"	"STAT4"	1.29937786869044	-1.2975827277723	-0.0500650404251734	"IS01"	1.29937786869044
