"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"IKZF3"	"IKZF3"	1.77467030811583	-0.672894208712018	-1.06538901675133	"IS01"	1.77467030811583
"SIT1"	"SIT1"	1.75361910570377	-0.381997628825405	-1.31222868327803	"IS01"	1.75361910570377
"TRAF3IP3"	"TRAF3IP3"	1.75188374484718	-0.401685368977629	-1.29252665274603	"IS01"	1.75188374484718
"PTPRCAP"	"PTPRCAP"	1.74643328988571	-0.569784841150193	-1.1331854499818	"IS01"	1.74643328988571
"CD247"	"CD247"	1.74036489151034	-0.355440599051742	-1.32401953733477	"IS01"	1.74036489151034
"GPR18"	"GPR18"	1.73481693763277	-0.434749405857612	-1.24602092945989	"IS01"	1.73481693763277
"CD27"	"CD27"	1.73009077848849	-0.396910113979654	-1.27624472042877	"IS01"	1.73009077848849
"CD2"	"CD2"	1.72857976697166	-0.277470688150357	-1.38435692775018	"IS01"	1.72857976697166
"CD3D"	"CD3D"	1.72856224323011	-0.300553728317589	-1.36316952837939	"IS01"	1.72856224323011
"SPN"	"SPN"	1.72782350179974	-0.440077528483869	-1.23450382683395	"IS01"	1.72782350179974
"CD3E"	"CD3E"	1.72540508782051	-0.326475669278744	-1.33640177060547	"IS01"	1.72540508782051
"UBASH3A"	"UBASH3A"	1.71089770759235	-0.369436374778815	-1.28324579803987	"IS01"	1.71089770759235
"IKZF1"	"IKZF1"	1.68253151721893	-0.55171725363478	-1.0891719359479	"IS01"	1.68253151721893
"SIRPG"	"SIRPG"	1.67990883181887	-0.199748650903182	-1.40949607972524	"IS01"	1.67990883181887
"LCK"	"LCK"	1.67541558482669	-0.2861082360301	-1.32603074925543	"IS01"	1.67541558482669
"CCL5"	"CCL5"	1.67433496607327	-0.133259806294674	-1.4651923270098	"IS01"	1.67433496607327
"APOBEC3H"	"APOBEC3H"	1.67357900459895	-0.591811303885915	-1.0439116269744	"IS01"	1.67357900459895
"IL2RG"	"IL2RG"	1.66777102038463	-0.268610774838852	-1.33483097841194	"IS01"	1.66777102038463
"ZAP70"	"ZAP70"	1.66351361953127	-0.572516227224044	-1.0520654080552	"IS01"	1.66351361953127
"SLA2"	"SLA2"	1.66275051196498	-0.328335513457606	-1.2752941105622	"IS01"	1.66275051196498
"ICOS"	"ICOS"	1.66107101166493	-0.4652729051951	-1.14810863335648	"IS01"	1.66107101166493
"CXCR3"	"CXCR3"	1.65824742845888	-0.190080584116476	-1.39782635981129	"IS01"	1.65824742845888
"GZMK"	"GZMK"	1.6555521082052	-0.360526363213633	-1.23894532690104	"IS01"	1.6555521082052
"TIFAB"	"TIFAB"	1.65547988296414	-0.312218884523492	-1.28318242168065	"IS01"	1.65547988296414
"NKG7"	"NKG7"	1.65207265529228	-0.124883339114578	-1.45176829515582	"IS01"	1.65207265529228
"TIGIT"	"TIGIT"	1.65140441832121	-0.265103165681792	-1.32253107196752	"IS01"	1.65140441832121
"CCR5"	"CCR5"	1.65024344766543	-0.277285717682538	-1.31025705264775	"IS01"	1.65024344766543
"ZNF831"	"ZNF831"	1.64455593521934	-0.554305060442848	-1.05079441370643	"IS01"	1.64455593521934
"TRAT1"	"TRAT1"	1.64381988416593	-0.309641282526668	-1.27449181404762	"IS01"	1.64381988416593
"CD52"	"CD52"	1.62636966427792	-0.167796002934649	-1.38804198902998	"IS01"	1.62636966427792
"LY9"	"LY9"	1.62636741815207	-0.6326083776059	-0.961733664626393	"IS01"	1.62636741815207
"GZMA"	"GZMA"	1.61969818333735	-0.299329242600692	-1.2610801468245	"IS01"	1.61969818333735
"CD3G"	"CD3G"	1.61716179551171	-0.517949200338669	-1.05816648210568	"IS01"	1.61716179551171
"CD8A"	"CD8A"	1.61706027212063	-0.433764891356793	-1.13528050675289	"IS01"	1.61706027212063
"SLAMF7"	"SLAMF7"	1.61434182653269	-0.399961521865565	-1.16370620484335	"IS01"	1.61434182653269
"TBC1D10C"	"TBC1D10C"	1.61286052752888	-0.445034267406163	-1.12096299642051	"IS01"	1.61286052752888
"MAP4K1"	"MAP4K1"	1.6110666487684	-0.51921460077364	-1.05122719074061	"IS01"	1.6110666487684
"PYHIN1"	"PYHIN1"	1.60813630945534	-0.327575623001707	-1.22421212074752	"IS01"	1.60813630945534
"CST7"	"CST7"	1.5972308498405	-0.274833715634303	-1.26224545386386	"IS01"	1.5972308498405
"CD5"	"CD5"	1.58961437963964	-0.262647603707326	-1.26620097449821	"IS01"	1.58961437963964
"FASLG"	"FASLG"	1.58738498289398	-0.170895601692345	-1.34823836050676	"IS01"	1.58738498289398
"UBD"	"UBD"	1.582987594964	-0.291498672239953	-1.23345724023659	"IS01"	1.582987594964
"RHOH"	"RHOH"	1.58187855362375	-0.485752713531189	-1.05424420698636	"IS01"	1.58187855362375
"C16orf54"	"C16orf54"	1.58089371845476	-0.658204770628923	-0.895144786960371	"IS01"	1.58089371845476
"CD8B"	"CD8B"	1.57753213307838	-0.310232376417357	-1.21110323748939	"IS01"	1.57753213307838
"TBX21"	"TBX21"	1.57731418255986	-0.309353144221098	-1.21170299625805	"IS01"	1.57731418255986
"CD96"	"CD96"	1.57457186410309	-0.26266995528682	-1.25191888492121	"IS01"	1.57457186410309
"S1PR4"	"S1PR4"	1.57248020838335	-0.344701686141289	-1.17469979249233	"IS01"	1.57248020838335
"KLRK1"	"KLRK1"	1.56430184780726	-0.365377468087317	-1.14798305784175	"IS01"	1.56430184780726
"SKAP1"	"SKAP1"	1.56369651534282	-0.70883819681928	-0.832401538560726	"IS01"	1.56369651534282
"GZMH"	"GZMH"	1.5577409009915	-0.180880095570633	-1.3109758843839	"IS01"	1.5577409009915
"CD48"	"CD48"	1.55688770978401	-0.127654228420717	-1.35898349399772	"IS01"	1.55688770978401
"PDCD1"	"PDCD1"	1.55598327124046	-0.684042674633976	-0.84783012552686	"IS01"	1.55598327124046
"CTSW"	"CTSW"	1.55337903048646	-0.270695671080018	-1.22446542225417	"IS01"	1.55337903048646
"SLAMF6"	"SLAMF6"	1.54916715993942	-0.527498018505162	-0.984943988493247	"IS01"	1.54916715993942
"TMC8"	"TMC8"	1.53412407063576	-0.112881613366944	-1.35095043556333	"IS01"	1.53412407063576
"LCP2"	"LCP2"	1.5278166483364	-0.203783697497911	-1.26159892452096	"IS01"	1.5278166483364
"SCML4"	"SCML4"	1.52752282845703	-0.438539136662224	-1.04601262660208	"IS01"	1.52752282845703
"ITGB7"	"ITGB7"	1.5268968888096	-0.638035598208315	-0.862449489524225	"IS01"	1.5268968888096
"CLEC9A"	"CLEC9A"	1.52330876667587	-0.498628939065427	-0.98690551803328	"IS01"	1.52330876667587
"CD38"	"CD38"	1.52193400892954	-0.0699130738258587	-1.37880213773687	"IS01"	1.52193400892954
"ADGRG5"	"ADGRG5"	1.51997648776152	-0.286680169773553	-1.17813665430044	"IS01"	1.51997648776152
"IL12RB1"	"IL12RB1"	1.51929445480211	0.00696918114145207	-1.44681275822489	"IS01"	1.51929445480211
"PTPN7"	"PTPN7"	1.50845236031674	-0.204801041123052	-1.24230686096395	"IS01"	1.50845236031674
"PVRIG"	"PVRIG"	1.50839434537168	-0.688822697329061	-0.798327724700072	"IS01"	1.50839434537168
"CXCR6"	"CXCR6"	1.50623588960495	-0.0458409428966235	-1.38599691714921	"IS01"	1.50623588960495
"SOWAHD"	"SOWAHD"	1.5052098361409	-0.312443104477739	-1.14050793623298	"IS01"	1.5052098361409
"GBP5"	"GBP5"	1.50462090612735	-0.231252172888017	-1.21441445898891	"IS01"	1.50462090612735
"ITGAL"	"ITGAL"	1.49837159797773	-0.259221912113289	-1.18283692257675	"IS01"	1.49837159797773
"CXorf65"	"CXorf65"	1.49636802857188	-0.445767394971164	-1.00984576314412	"IS01"	1.49636802857188
"XCL2"	"XCL2"	1.49470009381922	-0.109747188055574	-1.31644789990356	"IS01"	1.49470009381922
"XCL1"	"XCL1"	1.49177416882394	-0.0902216843337242	-1.33158183690955	"IS01"	1.49177416882394
"CXCL10"	"CXCL10"	1.48452783560817	-0.15482479911779	-1.26546045732277	"IS01"	1.48452783560817
"CCL4"	"CCL4"	1.4812832570432	-0.0474816230092545	-1.36083492782408	"IS01"	1.4812832570432
"CXCL9"	"CXCL9"	1.46844102686169	-0.133773035168723	-1.26951657347701	"IS01"	1.46844102686169
"CLECL1"	"CLECL1"	1.4677080834503	-0.179480539155815	-1.22690069655648	"IS01"	1.4677080834503
"SNX20"	"SNX20"	1.46756398626245	0.260013643919173	-1.62984950354509	"IS01"	1.46756398626245
"LTA"	"LTA"	1.46641481822651	-0.193692374817505	-1.21264007778456	"IS01"	1.46641481822651
"JAKMIP1"	"JAKMIP1"	1.4597660744821	-0.758695405197521	-0.688139686098819	"IS01"	1.4597660744821
"SH2D1A"	"SH2D1A"	1.45729581490515	-0.241487171328684	-1.16015912356443	"IS01"	1.45729581490515
"RLTPR"	"RLTPR"	1.45503478982458	-0.890415642198877	-0.562845809676324	"IS01"	1.45503478982458
"SP140"	"SP140"	1.4513997659372	-0.226562340756164	-1.16825758706358	"IS01"	1.4513997659372
"CD53"	"CD53"	1.44713068054762	0.0991466667747375	-1.46293661610677	"IS01"	1.44713068054762
"PSMB9"	"PSMB9"	1.44599133799687	0.0245078718806504	-1.39340088519758	"IS01"	1.44599133799687
"ZBED2"	"ZBED2"	1.44596215756243	-0.210485581500247	-1.17784719153392	"IS01"	1.44596215756243
"HLA.F"	"HLA.F"	1.4406011147511	-0.0512158766496226	-1.31883988282396	"IS01"	1.4406011147511
