"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"PDCD6IP"	"PDCD6IP"	1.11198561143316	0.0777791378608925	-0.962563282316601	"IS01"	1.11198561143316
"STRIP2"	"STRIP2"	1.08960838271545	-0.100015378334081	-0.780707176848624	"IS01"	1.08960838271545
"IL36A"	"IL36A"	1.06522530436649	-0.379322425650364	-0.503648195232776	"IS01"	1.06522530436649
"DPP9"	"DPP9"	1.04832229343672	-0.0497346815376307	-0.793990952317479	"IS01"	1.04832229343672
"OR10A6"	"OR10A6"	0.967270147648172	-0.446211787936016	-0.363500061419103	"IS01"	0.967270147648172
"LUZP4"	"LUZP4"	0.962648574140607	-0.163384232667082	-0.620568375891773	"IS01"	0.962648574140607
"KLHL21"	"KLHL21"	0.942816671112617	0.0935540460794177	-0.84158091122548	"IS01"	0.942816671112617
"RAD18"	"RAD18"	0.896705123811566	0.085163918509784	-0.796903556135444	"IS01"	0.896705123811566
"CTD.2370N5.3"	"CTD.2370N5.3"	0.853230492374668	-0.304621436776243	-0.402687187419972	"IS01"	0.853230492374668
"MME"	"MME"	0.851705157537719	-0.413940869278115	-0.300671199944299	"IS01"	0.851705157537719
"RP11.47I22.4"	"RP11.47I22.4"	0.841739474344186	-0.00623453715507268	-0.668598079006563	"IS01"	0.841739474344186
"SPANXC"	"SPANXC"	0.832747304705791	-0.477634939412356	-0.22675662219906	"IS01"	0.832747304705791
"EDDM3A"	"EDDM3A"	0.824068916389711	-0.409926891874639	-0.28223179910486	"IS01"	0.824068916389711
"RP11.73M18.2"	"RP11.73M18.2"	0.809967955204095	0.283841795003861	-0.910599109381885	"IS01"	0.809967955204095
"TBC1D2"	"TBC1D2"	0.807486498123127	-0.584750175057396	-0.107757632199213	"IS01"	0.807486498123127
"LACTB2"	"LACTB2"	0.797788043305669	0.232686040543343	-0.853675068884809	"IS01"	0.797788043305669
"CTD.2207O23.10"	"CTD.2207O23.10"	0.789101432166859	-0.258419529538088	-0.393909975316744	"IS01"	0.789101432166859
"BTG4"	"BTG4"	0.788939208083101	0.000103856998489073	-0.632142056831222	"IS01"	0.788939208083101
"OR13H1"	"OR13H1"	0.786881651593231	-0.264401928567128	-0.386615780360724	"IS01"	0.786881651593231
"TRPA1"	"TRPA1"	0.78672530057766	0.229145262537393	-0.841547680668299	"IS01"	0.78672530057766
"NLRP10"	"NLRP10"	0.785620647122832	-0.432865966452089	-0.230279434156582	"IS01"	0.785620647122832
"ACVR1C"	"ACVR1C"	0.782533676957531	0.327696269615649	-0.929054983053642	"IS01"	0.782533676957531
"CTD.3222D19.2"	"CTD.3222D19.2"	0.763877051954892	0.0101158151124708	-0.621295062930022	"IS01"	0.763877051954892
"BCL2L13"	"BCL2L13"	0.759633249484683	0.435342200877323	-1.0099596626435	"IS01"	0.759633249484683
"IFNA16"	"IFNA16"	0.753556402998415	-0.175533225025378	-0.441855920767604	"IS01"	0.753556402998415
"ZNF705G"	"ZNF705G"	0.74869608239313	-0.036790383664839	-0.565884919637089	"IS01"	0.74869608239313
"TMIGD1"	"TMIGD1"	0.746775120448807	-0.179849632381297	-0.432443416657409	"IS01"	0.746775120448807
"LMO7"	"LMO7"	0.744197533817452	-0.0423639160299274	-0.557142105931798	"IS01"	0.744197533817452
"PNLIPRP3"	"PNLIPRP3"	0.740770132707939	-0.154398419184995	-0.451098976114771	"IS01"	0.740770132707939
"AC087392.1"	"AC087392.1"	0.739724318649372	-0.124762836281427	-0.477585545189503	"IS01"	0.739724318649372
"PRM1"	"PRM1"	0.733991808894185	-0.0997880087238319	-0.496020162144691	"IS01"	0.733991808894185
"KRTAP12.3"	"KRTAP12.3"	0.732713273310383	-0.226039570691033	-0.37859024257855	"IS01"	0.732713273310383
"OR2A2"	"OR2A2"	0.720625361918219	-0.022109981768775	-0.556932029547888	"IS01"	0.720625361918219
"GS1.114I9.3"	"GS1.114I9.3"	0.719533317338658	0.499472118963501	-1.03696287791898	"IS01"	0.719533317338658
"STX3"	"STX3"	0.715388548142193	-0.172282576197301	-0.414275483201764	"IS01"	0.715388548142193
"ZNF655"	"ZNF655"	0.711988318103475	0.69224466000944	-1.20865719943226	"IS01"	0.711988318103475
"CTB.96E2.2"	"CTB.96E2.2"	0.701274435549823	-0.175874625268935	-0.399656265160616	"IS01"	0.701274435549823
"C7orf77"	"C7orf77"	0.700715611316873	0.0649000069994617	-0.62120602615446	"IS01"	0.700715611316873
"SEMG2"	"SEMG2"	0.664848378805367	0.0989938892003573	-0.623906572814696	"IS01"	0.664848378805367
"KRT33B"	"KRT33B"	0.654560785542346	-0.303172499262109	-0.244862000973043	"IS01"	0.654560785542346
"HIST1H4F"	"HIST1H4F"	0.654112315605187	0.13795063431628	-0.651224187566241	"IS01"	0.654112315605187
"MET"	"MET"	0.652898533736568	0.151269806158792	-0.662532241071841	"IS01"	0.652898533736568
"AC009758.1"	"AC009758.1"	0.652075382811888	-0.0854219419635844	-0.44363980648975	"IS01"	0.652075382811888
