"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"ZNF667"	"ZNF667"	1.46930314779061	-0.266373005184842	-0.814700018142124	"S01"	1.46930314779061	"IS01"
"CAP2"	"CAP2"	1.40613495363028	-0.393506081642654	-0.627157133374212	"S01"	1.40613495363028	"IS01"
"LGR6"	"LGR6"	1.22664806971303	-0.328297348483913	-0.563588667522194	"S01"	1.22664806971303	"IS01"
"CRMP1"	"CRMP1"	1.21288392378527	-0.103503857037908	-0.800603207256394	"S01"	1.21288392378527	"IS01"
"ZNF608"	"ZNF608"	1.20915605570802	-0.206925441705725	-0.683973520096091	"S01"	1.20915605570802	"IS01"
"MLN"	"MLN"	1.2064151083412	-0.395042494118286	-0.474877801414216	"S01"	1.2064151083412	"IS01"
"NELL1"	"NELL1"	1.19026733309288	-0.0576617433849086	-0.834001097159756	"S01"	1.19026733309288	"IS01"
"GPT2"	"GPT2"	1.17858164873605	-0.429671110513145	-0.415781475671891	"S01"	1.17858164873605	"IS01"
"CSAD"	"CSAD"	1.17814052722504	0.14907780233925	-1.05238122340671	"S01"	1.17814052722504	"IS01"
"SALL1"	"SALL1"	1.16194417306547	-0.259915936230892	-0.590058037685589	"S01"	1.16194417306547	"IS01"
"TECTA"	"TECTA"	1.16118117858039	0.344010630623273	-1.25412393605881	"S01"	1.16118117858039	"IS01"
"KCNIP1"	"KCNIP1"	1.14412704210519	-0.226857900355193	-0.613005411782848	"S01"	1.14412704210519	"IS01"
"RNF207"	"RNF207"	1.13934106288972	-0.132912189796791	-0.712787157657627	"S01"	1.13934106288972	"IS01"
"GOLGA8A"	"GOLGA8A"	1.12549940034295	0.0834132288000521	-0.9404238552594	"S01"	1.12549940034295	"IS01"
"PGBD2"	"PGBD2"	1.11662670244992	0.109223707623443	-0.962139141615613	"S01"	1.11662670244992	"IS01"
"SHANK2"	"SHANK2"	1.10909062520256	-0.140961931300683	-0.681119366504987	"S01"	1.10909062520256	"IS01"
"KAT2A"	"KAT2A"	1.09560141054479	-0.456823056828703	-0.323332886002945	"S01"	1.09560141054479	"IS01"
"SYCP2L"	"SYCP2L"	1.08580530073314	0.077900029759271	-0.904427106418854	"S01"	1.08580530073314	"IS01"
"GCSH"	"GCSH"	1.0854762078436	-0.573219548813838	-0.187600302916349	"S01"	1.0854762078436	"IS01"
"CLDN10"	"CLDN10"	1.06258571681241	-0.175779000602072	-0.607737398152546	"S01"	1.06258571681241	"IS01"
"TP53TG3"	"TP53TG3"	1.04248022320641	-0.41265973661422	-0.331882788702819	"S01"	1.04248022320641	"IS01"
"PPP1R1A"	"PPP1R1A"	1.02549875580768	-0.51441476190248	-0.2070940116531	"S01"	1.02549875580768	"IS01"
"ADORA1"	"ADORA1"	1.01536062385845	-0.442513669265076	-0.278579410153715	"S01"	1.01536062385845	"IS01"
"MAPT"	"MAPT"	0.998578584494577	-0.0620583998717125	-0.684629406576547	"S01"	0.998578584494577	"IS01"
"PCDHA11"	"PCDHA11"	0.997981216990389	0.130247093838433	-0.895817559342742	"S01"	0.997981216990389	"IS01"
"ZNF692"	"ZNF692"	0.9818824849579	-0.501821335065917	-0.188066893326787	"S01"	0.9818824849579	"IS01"
"SSPO"	"SSPO"	0.98071986541656	0.186898325004402	-0.945149083315884	"S01"	0.98071986541656	"IS01"
"TM7SF2"	"TM7SF2"	0.949424379004998	-0.320770015337739	-0.362846506513264	"S01"	0.949424379004998	"IS01"
"SCNN1D"	"SCNN1D"	0.944787363178997	-0.403730761489054	-0.268049153995067	"S01"	0.944787363178997	"IS01"
"AMT"	"AMT"	0.941447597611347	-0.127430856692083	-0.569608174954435	"S01"	0.941447597611347	"IS01"
"MAPK8IP3"	"MAPK8IP3"	0.941349611018492	0.396631580711122	-1.14628236788719	"S01"	0.941349611018492	"IS01"
"TMEM132C"	"TMEM132C"	0.927900466021937	0.169161189056783	-0.885803030882535	"S01"	0.927900466021937	"IS01"
"NNAT"	"NNAT"	0.925308531751216	0.0823399083104059	-0.788299020519604	"S01"	0.925308531751216	"IS01"
"FOXD2"	"FOXD2"	0.925159496842175	-0.223499846772345	-0.45159986541334	"S01"	0.925159496842175	"IS01"
"MTERF1"	"MTERF1"	0.923630986263366	0.101854903180465	-0.80851105216794	"S01"	0.923630986263366	"IS01"
"TSPEAR"	"TSPEAR"	0.913844858856306	-0.351957089697655	-0.301697193948691	"S01"	0.913844858856306	"IS01"
"SCUBE1"	"SCUBE1"	0.894812892734065	-0.122426366783579	-0.539953285456552	"S01"	0.894812892734065	"IS01"
"HNRNPA3"	"HNRNPA3"	0.875810590968859	-0.352818816264997	-0.272071055259901	"S01"	0.875810590968859	"IS01"
"PRKAR1B"	"PRKAR1B"	0.87554628914488	-0.403706594409974	-0.215868086314561	"S01"	0.87554628914488	"IS01"
"EIF3F"	"EIF3F"	0.861413221007931	-0.625004843284665	0.0383342800826267	"S01"	0.861413221007931	"IS01"
"ZNF664"	"ZNF664"	0.859572184957325	0.347622563670782	-1.03068626626964	"S01"	0.859572184957325	"IS01"
"ACAD8"	"ACAD8"	0.858984329345164	0.127059898849371	-0.787506504104382	"S01"	0.858984329345164	"IS01"
"MUC4"	"MUC4"	0.858665173336646	-0.0530183605973526	-0.589083770403736	"S01"	0.858665173336646	"IS01"
"ASTN1"	"ASTN1"	0.858385060523241	-0.0442496776152659	-0.598522791899428	"S01"	0.858385060523241	"IS01"
"PTCHD2"	"PTCHD2"	0.851937337238226	-0.11309176705956	-0.517898218175765	"S01"	0.851937337238226	"IS01"
"RYR3"	"RYR3"	0.848470750876068	0.174886572019778	-0.83221412028628	"S01"	0.848470750876068	"IS01"
"CRTAC1"	"CRTAC1"	0.840142097053139	-0.0426812068776157	-0.586493779241776	"S01"	0.840142097053139	"IS01"
"ADCY5"	"ADCY5"	0.834566664950633	0.305875598769961	-0.965888224313572	"S01"	0.834566664950633	"IS01"
"NICN1"	"NICN1"	0.827142260481177	-0.0509729794050488	-0.567566551893427	"S01"	0.827142260481177	"IS01"
"ROGDI"	"ROGDI"	0.812614874530586	-0.302821484887754	-0.279445300931056	"S01"	0.812614874530586	"IS01"
"ZNF595"	"ZNF595"	0.81241682625656	0.112287398251098	-0.736137051383724	"S01"	0.81241682625656	"IS01"
"CECR2"	"CECR2"	0.807813153578647	0.329625433971378	-0.971853597967632	"S01"	0.807813153578647	"IS01"
"CIART"	"CIART"	0.806111679468234	-0.196546574740088	-0.391500961290271	"S01"	0.806111679468234	"IS01"
"PTGES3L"	"PTGES3L"	0.804956314610236	0.156358136269323	-0.779013144229478	"S01"	0.804956314610236	"IS01"
"CRHR1"	"CRHR1"	0.803033967487564	-0.077956888853012	-0.519692249367925	"S01"	0.803033967487564	"IS01"
