"TCGA.DX.A1KY"	"TCGA.DX.A23R"	"TCGA.DX.A2IZ"	"TCGA.DX.A7EF"	"TCGA.DX.A7EI"	"TCGA.DX.A7EO"	"TCGA.DX.A7ER"	"TCGA.DX.A8BU"	"TCGA.DX.AB2H"	"TCGA.DX.AB2J"	"TCGA.DX.AB2O"	"TCGA.DX.AB30"	"TCGA.DX.AB36"	"TCGA.DX.AB3B"	"TCGA.DX.AB3C"	"TCGA.FX.A2QS"	"TCGA.FX.A8OO"	"TCGA.MJ.A850"	"TCGA.QC.AA9N"	"TCGA.QQ.A8VB"	"TCGA.QQ.A8VH"	"TCGA.RN.A68Q"	"TCGA.SG.A6Z7"	"TCGA.SI.A71O"	"TCGA.SI.A71Q"	"TCGA.SI.AA8C"	"TCGA.WK.A8XQ"	"TCGA.WK.A8XT"	"TCGA.X6.A8C2"	"TCGA.X6.A8C3"	"TCGA.X6.A8C7"	"TCGA.X9.A973"	"TCGA.Z4.AAPF"	"TCGA.3B.A9HI"	"TCGA.3B.A9HJ"	"TCGA.3B.A9HL"	"TCGA.DX.A1KU"	"TCGA.DX.A1KW"	"TCGA.DX.A1KX"	"TCGA.DX.A1KZ"	"TCGA.DX.A1L0"	"TCGA.DX.A1L1"	"TCGA.DX.A1L2"	"TCGA.DX.A1L3"	"TCGA.DX.A23V"	"TCGA.DX.A23Y"	"TCGA.DX.A23Z"	"TCGA.DX.A2J0"	"TCGA.DX.A3LS"	"TCGA.DX.A3LW"	"TCGA.DX.A3LY"	"TCGA.DX.A3M1"	"TCGA.DX.A3U5"	"TCGA.DX.A3U6"	"TCGA.DX.A48N"	"TCGA.DX.A6BE"	"TCGA.DX.A6BG"	"TCGA.DX.A6BH"	"TCGA.DX.A6YQ"	"TCGA.DX.A6YR"	"TCGA.DX.A6YS"	"TCGA.DX.A6YT"	"TCGA.DX.A6YU"	"TCGA.DX.A6YV"	"TCGA.DX.A6YZ"	"TCGA.DX.A6Z0"	"TCGA.DX.A7ES"	"TCGA.DX.A7EU"	"TCGA.DX.A8BG"	"TCGA.DX.A8BM"	"TCGA.DX.A8BR"	"TCGA.DX.A8BT"	"TCGA.DX.A8BV"	"TCGA.DX.A8BX"	"TCGA.DX.AB2F"	"TCGA.DX.AB2L"	"TCGA.DX.AB2S"	"TCGA.DX.AB2T"	"TCGA.DX.AB2V"	"TCGA.DX.AB32"	"TCGA.DX.AB35"	"TCGA.DX.AB3A"	"TCGA.FX.A3NK"	"TCGA.FX.A3TO"	"TCGA.HB.A3YV"	"TCGA.IE.A4EJ"	"TCGA.IE.A6BZ"	"TCGA.K1.A6RU"	"TCGA.LI.A9QH"	"TCGA.MB.A8JK"	"TCGA.MO.A47P"	"TCGA.QQ.A5VA"	"TCGA.QQ.A8VG"	"TCGA.SG.A6Z4"	"TCGA.SI.A71P"	"TCGA.UE.A6QT"	"TCGA.UE.A6QU"	"TCGA.VT.A80J"	"TCGA.VT.AB3D"	"TCGA.X6.A8C6"	"TCGA.Z4.A9VC"
"ZNF667"	1.98977840474124	1.80707945564275	1.68568040025096	0.828249403712737	0.9211284055383	0.809615047756359	1.36920298558336	-0.69713775432283	1.36130416314033	1.70389560251332	0.820213617921337	1.47984609306946	0.525687340937605	1.79757160250493	1.49515426912684	0.894753032968215	2.02204045502395	1.07322414868099	1.41691698297832	1.48828551895807	1.88314294401436	0.782220297590738	1.39959489386268	1.25683683999455	1.32744174572452	0.931298920631693	1.24552259569643	1.90772573329866	-0.447447308536857	-1.12059239050008	1.99687645693678	1.07751473935033	0.996398003908217	-0.382248919564977	-0.597222655635905	0.905212460013201	-1.07087044447003	0.792859222836462	-1.16673920982665	1.03137395373567	1.00069238436488	-0.907411163350823	1.55437500420946	-0.798755822412257	0.92305765488474	-1.05394868877868	0.976868237946694	0.772219887681397	0.876249435954323	0.48036159793108	-1.11906865152818	-1.17951608134507	-0.646051122702482	-0.691589311005812	1.61428614450488	-0.28885197050744	0.0725494225238902	0.142411704571239	-1.03817179875894	-1.17405082189272	-0.863270471670216	0.756099141221446	-0.569026575079144	-1.04638280995092	1.04628156106541	-0.85730341390847	0.220923013760179	1.08159387213514	-0.920940449284091	0.913972764840718	-1.01567662103271	-1.19011620807961	1.20725114786019	-0.929730504416899	1.45744430322673	-0.379884832276709	-0.6685717609051	-0.851256018544158	-0.82953392437034	-1.07750183095716	0.621880140996241	-0.502769289040315	-0.754681986309721	-0.97175963130122	0.922994322447365	-0.838307304376487	-0.793472763773866	0.237014006350519	-1.04473859077638	-0.816827663353027	-0.244757201029438	0.470232381448575	-0.52462165423303	-0.486613244755489	-1.08271920282102	-0.450563311593679	-1.06835798677841	0.79654232418276	-0.948148765213979	1.7747165335517	1.12958785749502
"CAP2"	1.30068115522366	0.491136687743283	1.27701863029765	0.828257829403728	1.41741140322018	1.14549830129236	-0.370791280865821	1.75865611719523	1.20312169490705	1.20384763534027	-0.711484512423157	1.67105875933062	1.9759748562841	1.37406163026294	1.40470226721269	1.9124266836572	1.17159114094309	1.16655628912333	-0.834357900957343	1.17153440413192	0.442792270738488	1.49033893903258	1.31026176479384	1.29418734307898	1.67632139695359	1.22049040106928	1.68417476748305	1.22445354880191	-0.114614065810911	1.55690918943461	1.43156334992406	1.20266703313421	1.417633422827	-0.821837507214854	-0.76637919466014	-0.796871475235901	1.72820142363965	-0.888848379843849	-0.802157753600732	1.24537122912748	-0.154004707946143	-0.933461513984232	-0.11963442178221	-0.910693873142872	-0.90171681718403	-0.930831939098837	1.19661404580588	-0.552587571067999	1.32349158066117	-0.770560340399754	-0.75550048900997	-0.205259322872899	-0.902672096783872	-0.169517931588993	0.13438058776638	1.17406299461972	1.16612332622754	-0.528558165483138	-0.63478130053495	-0.887475656039472	-0.885154785288722	-0.752009996654172	-0.385126253295143	-0.259697269128994	-0.678976647921043	-0.60596196588558	0.305128373613739	-0.934767534390848	-0.414771822364255	-0.00111051635208507	-0.892656285861285	-0.928090699444684	-0.605933522554601	-0.677653877124719	-0.707640194140238	1.31004739511703	-0.903346854832517	-0.197868622620055	-0.871419889664022	-0.697734592449592	-0.761707931251205	-0.387509277365842	1.16667130689695	-0.704202190852718	1.15765112905425	-0.826659908318266	-0.903672941828236	-0.674767966671786	-0.642699425275631	1.2291161364459	2.18136096877363	1.38300104495018	-0.730976912624158	-0.729224915780459	-0.519765828938001	0.450636527323306	-0.89026298190428	-0.582282516740602	-0.913921075183629	0.358629186570321	1.72465309708887
"LGR6"	-0.711357516756421	1.37897131787636	1.47271097730109	-0.753546557625081	1.38737297936239	1.50798243697012	1.63057849809936	1.38895532249892	1.45590814735433	1.38877202861212	1.39292397294503	1.46188504831271	1.38142789102752	1.82975540295801	1.64418964849753	-0.71354923186542	2.30511862289553	1.46630754937065	-0.742840468762916	1.47136288108802	1.397002176918	-0.712308787421327	1.39672282797061	-0.646915181034708	1.40591483152462	1.38624934021729	-0.745677420918514	1.50344554806429	-0.756219099356255	1.3879878591302	1.69371627562969	1.40004682275002	1.39564413129161	-0.67864702266266	1.38452632160314	-0.762429269100057	-0.411282080975836	1.38658401691036	1.38375929182626	-0.748495184630778	-0.649169200175669	-0.658830503019621	-0.72245136006198	-0.697722491463563	-0.698250280115874	1.38825671100843	-0.738042635282434	1.39425511371102	-0.684610173357915	-0.74224515174714	-0.749047122590902	-0.698919270242256	-0.713408207368393	1.39098478644398	-0.697820159031261	-0.413517335391212	-0.714059856222987	-0.734553976361661	-0.478029397600743	-0.727855111927949	-0.733095294258136	-0.748727997884233	-0.679986536067814	-0.687875198199701	-0.733865946807116	-0.733564115646649	-0.335375918884792	-0.463196155019309	1.39115354126562	-0.75150028054141	-0.739501167342889	-0.724578478461241	-0.743673450780535	-0.753850971861806	-0.714701335865472	-0.730615812984652	0.0222271210414914	0.172975530692836	1.38290353218348	-0.652359282673321	1.39166045052299	-0.642260353228266	0.484044726088941	-0.757439154838379	-0.31240888998597	-0.736568964758914	-0.761407686683548	-0.657257617711078	-0.7563759211872	-0.712969714611514	1.39681289652053	1.38766287855198	1.38505507494457	-0.730476931270776	1.38441929224455	1.38973438151569	-0.692589769914156	-0.739135756400778	1.38563983191671	-0.736428762243745	-0.623826519607179
"CRMP1"	1.53610214407583	1.18189620985521	1.59584232415475	-0.345980919893621	1.15374308598351	1.16159775725714	1.38375186222673	0.0394358616471013	1.45114315901106	1.15248325925425	1.18658468520293	-0.191379934629834	1.12396450731996	0.462061880997988	1.33270749445947	0.042899311340591	1.57437334296682	1.09996473181808	1.25741298980036	1.16292875749636	1.24367755562519	0.335459929451975	1.16225645134735	1.17820496261566	1.14411354169537	1.13731887029037	1.40147921292154	1.28651968271875	1.1621579846562	-0.33244183271408	1.18412644789944	-0.169555677016633	1.29744015225365	-1.7705236982375	-1.07617892067616	-1.04267086546012	-1.00068377552177	1.20717916254361	1.17079585375759	-0.320960413576721	-0.031737363548658	-0.241118637484163	1.20575580909757	-0.143123804379237	-0.886933827459382	-0.984325292436375	-0.0411823141199752	0.209969560045232	1.01288869918991	1.16163891387001	-0.998529307088836	-0.164511850824504	-0.986541855892044	-1.13528828829974	-0.576349471345131	-0.0786596456849287	-0.28275534314129	-1.0472153317254	1.20091507403027	0.442889225618028	-0.193626845263473	0.548390079472772	-0.11042810565439	-0.616145690780405	-0.364824612899405	-0.513886393339549	-0.952706184359938	1.15886763725556	-0.917081396102175	-0.962537848727291	-0.99308023538833	-1.08478262409357	1.12390969135721	0.69093196474738	0.174028446707046	-0.0665805491162203	-1.53021992348473	-0.299960650557243	-0.410498457547226	-1.06746395297682	0.552721117342231	-0.696679997409358	0.64721417206246	0.376860995218639	1.14786736541887	1.29570146996054	1.19812867000716	-0.181580807112958	-1.61473731470449	-0.365726287971729	-0.266093164971106	1.18359779264841	1.08932503924558	1.19730860045072	1.35280380354441	-0.896558386299925	1.16255881001581	0.881076869959719	-0.972394764845555	1.16322231775375	-0.579808651133642
"ZNF608"	1.16646088665016	1.22303193195187	-0.539822346351832	1.14575774730859	1.16232603199515	1.31324334062827	1.13218915235575	1.18658956188942	1.23255080736908	-0.588823967065604	-0.556327013781052	1.17194578856302	1.1418161762447	1.88230621595404	2.04518599641691	-0.541335815124971	2.45065018375998	2.23102848805607	-0.940341722827824	1.23114824124946	1.22843157304854	1.32701350348748	1.24850059960346	-0.902814811326718	1.09715349565303	1.33972719887097	2.05471107485143	2.47864425392278	1.25986536107418	-1.05532755122279	1.52922550664985	-0.0705143733682365	1.21160827831067	1.10327150719979	1.32381471360298	-0.0933617848229022	1.325928638251	-0.410885605326358	-0.572454362201926	-0.717400251166089	0.638400105914055	-0.98941862301955	1.26915846372869	-0.447311022924348	-0.844502317558851	-0.440805428768593	-0.385060334682696	-0.0914899823546955	-0.452420919082719	-0.338532592047906	-0.967535205238487	-0.374152687633497	-0.755940700160291	-0.218333602316716	1.20456779487393	-0.576678877534378	-0.0974700296262927	1.14261589413657	-0.970368588037165	-0.625135251894133	1.29808537459635	0.219430147829706	-0.406471686614648	1.24460570660237	-0.812977127904615	-0.548799025382164	-0.266438566050739	-1.01865162606408	-1.03521174901367	-0.604861857063095	-0.427028166033833	0.888376690932836	-0.722561638375038	-0.492387730462441	-0.346267586178246	1.23814374207882	-0.924009599962795	-0.628896274280431	-0.599403551368152	-0.603975755195119	-0.500489690666728	-0.681008609575026	1.16726498450698	-0.0512859591101581	1.2049373949915	-0.652813317798664	0.535879020811812	-0.617299091525242	-0.652255519687295	1.33154114640491	-1.01665953345059	-0.597586684502092	1.2667959022738	1.14987248581891	-0.497634351290172	-0.95631953846803	-0.683201823640726	-0.411961677890311	-1.02331606144614	-0.599254372165746	1.37841326968118
"MLN"	1.25392447138667	1.2260549306959	1.21631027982473	-0.817773670852413	1.20298514732705	1.22322825803289	2.49854748749939	1.27101388708375	1.21267279162821	-0.597673097738361	1.19776453206726	1.15963440392408	-0.574175389007915	1.37297161218276	1.23360165448375	1.17762741374246	3.04431031597096	1.41068030208386	-0.63351651436912	-0.252448623156279	1.29705767183155	-0.817773670852413	1.22347508331638	-0.817773670852413	2.15545293176031	1.26225559435692	1.22587757721619	1.48618063502756	1.14540209244055	-0.70933484782319	2.43558155213625	1.27398710076369	1.2387333855236	-0.708260046564701	-0.717807226690734	-0.677274593349491	-0.777655084301546	-0.521716308246421	-0.714555399406379	-0.817773670852413	-0.710178440892959	1.27737095692754	-0.817773670852413	-0.605593718161594	-0.578221426313747	-0.817773670852413	-0.817773670852413	-0.56045439062025	-0.817773670852413	1.20801342806294	-0.779174762436068	1.28771313605313	-0.817773670852413	-0.684038162722539	1.23814851524235	-0.658780207763894	-0.558038917260129	-0.760019922931412	-0.549990195229688	-0.817773670852413	1.2166619553909	-0.480349663383217	1.33826227414335	-0.817773670852413	-0.817773670852413	-0.817773670852413	1.89931474460997	1.29407409886254	-0.582173467418594	-0.595197267954346	-0.287864288250858	1.25872537749476	-0.412896897186122	1.17985715323947	-0.817773670852413	-0.817773670852413	-0.61772703920339	1.35837051024654	-0.68846342087477	-0.817773670852413	-0.753334626465145	-0.535546822926553	-0.627720369646347	-0.572981713919166	-0.817773670852413	-0.817773670852413	1.27538841259886	0.7850409034341	-0.629776976468327	-0.0900925630070119	-0.817773670852413	-0.762497597666759	-0.817773670852413	1.28747753583093	-0.628928603725348	-0.719938412104053	-0.679826438673477	1.2008045571641	-0.626122277156475	-0.552980856683525	1.27927939521489
"NELL1"	1.63165747878057	1.28016356621499	1.2771098378294	-0.823866975927833	1.32812309391489	1.3030083574548	1.3846933474987	1.28238752083109	1.29856004709196	0.867181484631828	-0.854774099157711	1.29443142723182	1.27601812892029	1.34990324811142	1.46329200692827	1.27660459767994	1.43746740523233	1.32376110580086	1.28460019233091	1.20614308096823	1.27684644629861	1.27598184065906	1.2881868855645	-0.854774099157711	1.28212888893945	1.27990888054388	1.59345177288913	1.31962626566696	-0.854774099157711	-0.854774099157711	1.627638675697	-0.767928685182862	1.30893568349346	0.78549161520787	-0.854774099157711	1.28026111183585	1.29648784013936	1.28301009441431	-0.854774099157711	0.578579645357192	1.28087759127455	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.513306636035714	-0.854774099157711	1.27841767490737	0.563774301305066	-0.854774099157711	-0.854774099157711	1.2913298941301	1.27938185609619	1.28307484384848	-0.854774099157711	1.33328617257841	-0.854774099157711	0.232287384043327	-0.461553767556103	-0.832757755892148	-0.601158928049982	0.871305469545884	1.27678068750132	-0.854774099157711	1.27775199454955	1.27637542894541	1.27913056385876	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.854774099157711	1.49113538411553	1.46216611519454	1.28364482104285	1.32306620181819	-0.854774099157711	1.27782298786646	0.18130432911423	-0.854774099157711	1.27857387648356	-0.854774099157711	-0.854774099157711	-0.854774099157711	0.142667555764721	-0.854774099157711	1.27837661440622	-0.854774099157711	-0.854774099157711	-0.854774099157711	-0.707126130500068	1.38830210533428
"GPT2"	1.22972193397349	1.48725871799862	1.01940649407215	1.15572632979294	1.03249102753409	-0.269658348144741	0.571992307367554	1.29623587370488	1.54811814231249	1.03274507053537	1.2225810408122	1.23032791337199	1.04043018860279	1.01013032480972	1.10596180549824	1.10355654157475	-0.797116441240282	-0.603907637707875	1.02627392566322	1.19880484387081	1.29195277477164	1.48132787695408	1.40103030795235	0.962470423710982	1.20763804318338	1.05994214050187	1.36972781834029	1.07799726022243	0.304360818667823	1.06508375137856	1.03248002682557	-0.563888760397958	1.17326366606664	-1.41418429328999	0.333127000247233	-1.44925507953868	-0.544355218201338	0.386249121104556	0.188740186692797	0.345600467520449	1.01777441345223	-0.58963673681422	-1.96782913460751	-0.676259017139975	-1.87044069329339	-0.586122851145336	-0.468124112497722	-0.642109424247036	0.423208756896889	-0.463763578122417	-1.28434617376732	-0.30203198268953	-0.0851355169339262	-1.45284231895303	1.1104941751628	-0.988494196252944	-0.257273597574265	0.0836766646784167	1.1055500860752	0.338631472722591	0.232980988187239	-1.29468136954319	-0.524249773348674	-0.667360500617653	-1.11738865339255	-0.603834886754875	-0.124407614087172	-0.0215120070132368	-1.56669331399382	-0.425418735803342	-1.320054314648	-0.815982635318675	-0.205603904851792	-1.72111579255771	-0.74609066658119	-0.223579208860618	-0.920805022614814	-0.612902022675468	-1.96782913460751	-0.543926226314336	-0.758031687858438	0.377721267588096	1.26938349337213	-0.0773511116659227	0.585704407621667	1.03807281549896	-0.56645779005233	-0.285781876911208	-0.895889729396816	-0.675877321872454	1.15774429953817	-0.149785864547494	1.14759963497221	1.04284620760524	1.11629632871824	1.04149550289875	1.00242176492949	1.03595314209607	-0.832876942786713	0.649256533506258	1.44514357216238
"CSAD"	1.3654816321848	1.40966757182165	-0.576712503957341	-0.828096681359977	1.51659129880019	1.35736645378886	1.28795198086249	-0.501717472642701	1.30670449189958	1.63932195805727	1.2574356558893	1.29055540573196	-0.879013498085967	1.42123594820173	1.34061750598385	-0.668892413874625	1.95366321869272	1.27097664468914	0.128481968115016	1.41940459235553	1.30623588694247	1.53382513368056	1.26051880797907	1.29482176667917	1.30597244383615	1.30106001101818	1.57946834178699	1.55082254543005	-0.360489144427783	-0.921981356927108	1.32597361722971	1.28772194059698	1.5180751889643	-0.367393250110558	1.28248044977599	1.38401681202775	-1.00870697827838	-0.325509150528652	-1.25876410357041	-0.508018309910355	1.26640137755631	-0.355564773441008	-0.518376182631715	-0.474921402007616	1.28329341042464	-0.449009070783424	-0.892133224578141	1.25239414824959	-0.975776941194562	1.25419025728012	-0.334372525283833	0.0477104923961715	-0.743780378513361	-0.563545630522796	1.64958948218211	0.146251350764539	-0.593607197845465	-0.907000015432802	-0.951887073466956	1.29923612413297	0.112836280675915	-0.51127836618725	1.37652289230143	-0.5378608804497	1.00999920731215	-0.518824186569204	-0.338058291872371	1.38790606829941	-0.992706735785265	-0.171141472671774	-0.836665721047865	-0.891745503795523	-0.553293237262722	1.28665851746107	0.354775031981272	-0.394868305077033	-0.390850741957204	-0.40264542300151	-0.252612086893734	1.26977305956531	-0.925815061031788	1.3666826490127	-0.774169387156618	-0.448487153642019	1.29239797763644	0.118591352019841	-0.713388967543992	-0.512408331339703	1.2439742183551	-0.602235941899054	1.54606959737254	1.36363022677103	1.23563563822591	0.292704630320059	-0.422285149442064	-1.05210498535545	-0.784394322587665	-0.905134534895076	1.24390835792027	1.3281794013056	2.09736007261001
"SALL1"	1.31409813823791	1.37305308370356	1.86823258956953	-0.841808884288614	2.45427083798976	-0.639021483915418	2.48161428380069	-0.428777589652839	3.15713869085016	0.770381327461602	-0.163772763762542	1.54627237752473	-0.638177024966497	-0.671746467011833	0.538962038484081	1.65309107030796	0.699735107144952	-0.322505805757183	1.79450999300933	1.2009674767721	-0.717228218713701	0.703097120210191	1.4183211750942	0.65479983381515	1.67624261263082	0.897702521533153	2.16501983411996	1.61916611274543	1.19634168831845	-0.8868073654614	2.71665801694967	0.652283253109161	0.831735605371524	0.862793551827158	-0.844246235757167	1.21273010106144	1.44189687816979	-0.00345983556752218	-0.135512666991704	0.664186085524299	-0.567103619766108	-0.891102852084717	0.592526785857542	-0.88613102253634	0.054328365552398	1.86580661038742	1.25830221627904	-0.836201043304228	0.245946965705957	-0.740698244835213	1.4070285358138	1.02482314486635	-0.881206146030022	-0.853164490842224	0.722861248309345	-0.868269671513901	-0.82276103321993	-0.685320458258615	-0.87797014734213	0.273948980697978	1.56868456537367	-0.831989375620174	-0.491527868788513	-0.708112563903809	-0.864243355113139	-0.87247874138011	0.759610655685209	-0.837775236161246	-0.86929462000577	-0.886683275219421	0.0851811182605661	0.403799273846865	-0.587915847357159	0.767420555329883	-0.819040495903405	-0.836605367848735	-0.883603632782573	-0.44221674439873	-0.880172424295547	-0.880835987281425	0.795748101282287	-0.713389513486454	0.766889168966488	-0.890061594931298	0.8123259128073	0.094075704009247	-0.891551107411219	0.95680435509018	1.17752460458999	-0.76477186232589	-0.791874698057946	-0.458261151801519	-0.84496153324814	-0.797346329654987	0.69528999468163	-0.834848615256427	-0.781785263505238	-0.873992485045255	-0.876014107258722	0.894945670602885	-0.120024364319531
