"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"ZNF667"	"ZNF667"	1.46930314779061	-0.266373005184842	-0.814700018142124	"IS01"	1.46930314779061
"ZBTB8B"	"ZBTB8B"	1.42057057651552	-0.271722726907775	-0.772068187637955	"IS01"	1.42057057651552
"CAP2"	"CAP2"	1.40613495363028	-0.393506081642654	-0.627157133374212	"IS01"	1.40613495363028
"KIF12"	"KIF12"	1.35987514533441	-0.405585587456368	-0.578983412038549	"IS01"	1.35987514533441
"VSTM2B"	"VSTM2B"	1.28815344079417	-0.267086147137034	-0.677328578654393	"IS01"	1.28815344079417
"KLHL31"	"KLHL31"	1.27672234892017	-0.201769637856275	-0.740592535208414	"IS01"	1.27672234892017
"LGR6"	"LGR6"	1.22664806971303	-0.328297348483913	-0.563588667522194	"IS01"	1.22664806971303
"CAMKV"	"CAMKV"	1.22021168022576	-0.173100146327395	-0.729535302346094	"IS01"	1.22021168022576
"TDRD5"	"TDRD5"	1.21366709109085	-0.0997162765542018	-0.805362072017609	"IS01"	1.21366709109085
"CRMP1"	"CRMP1"	1.21288392378527	-0.103503857037908	-0.800603207256394	"IS01"	1.21288392378527
"ZNF608"	"ZNF608"	1.20915605570802	-0.206925441705725	-0.683973520096091	"IS01"	1.20915605570802
"MLN"	"MLN"	1.2064151083412	-0.395042494118286	-0.474877801414216	"IS01"	1.2064151083412
"NELL1"	"NELL1"	1.19026733309288	-0.0576617433849086	-0.834001097159756	"IS01"	1.19026733309288
"GPT2"	"GPT2"	1.17858164873605	-0.429671110513145	-0.415781475671891	"IS01"	1.17858164873605
"CSAD"	"CSAD"	1.17814052722504	0.14907780233925	-1.05238122340671	"IS01"	1.17814052722504
"SALL1"	"SALL1"	1.16194417306547	-0.259915936230892	-0.590058037685589	"IS01"	1.16194417306547
"TECTA"	"TECTA"	1.16118117858039	0.344010630623273	-1.25412393605881	"IS01"	1.16118117858039
"AGBL4"	"AGBL4"	1.14741171752662	-0.254174995094435	-0.585418684264963	"IS01"	1.14741171752662
"SOSTDC1"	"SOSTDC1"	1.1449431833175	-0.205903850163768	-0.636681407462054	"IS01"	1.1449431833175
"KCNIP1"	"KCNIP1"	1.14412704210519	-0.226857900355193	-0.613005411782848	"IS01"	1.14412704210519
"RNF207"	"RNF207"	1.13934106288972	-0.132912189796791	-0.712787157657627	"IS01"	1.13934106288972
"GOLGA8A"	"GOLGA8A"	1.12549940034295	0.0834132288000521	-0.9404238552594	"IS01"	1.12549940034295
"PGBD2"	"PGBD2"	1.11662670244992	0.109223707623443	-0.962139141615613	"IS01"	1.11662670244992
"SHANK2"	"SHANK2"	1.10909062520256	-0.140961931300683	-0.681119366504987	"IS01"	1.10909062520256
"KAT2A"	"KAT2A"	1.09560141054479	-0.456823056828703	-0.323332886002945	"IS01"	1.09560141054479
"SYCP2L"	"SYCP2L"	1.08580530073314	0.077900029759271	-0.904427106418854	"IS01"	1.08580530073314
"GCSH"	"GCSH"	1.0854762078436	-0.573219548813838	-0.187600302916349	"IS01"	1.0854762078436
"OLIG2"	"OLIG2"	1.06827303222697	-0.266261990420134	-0.512446097294444	"IS01"	1.06827303222697
"CLDN10"	"CLDN10"	1.06258571681241	-0.175779000602072	-0.607737398152546	"IS01"	1.06258571681241
"SYT16"	"SYT16"	1.05105791066925	-0.124692071914625	-0.65526830742264	"IS01"	1.05105791066925
"TP53TG3"	"TP53TG3"	1.04248022320641	-0.41265973661422	-0.331882788702819	"IS01"	1.04248022320641
"PPP1R1A"	"PPP1R1A"	1.02549875580768	-0.51441476190248	-0.2070940116531	"IS01"	1.02549875580768
"ADORA1"	"ADORA1"	1.01536062385845	-0.442513669265076	-0.278579410153715	"IS01"	1.01536062385845
"MAPT"	"MAPT"	0.998578584494577	-0.0620583998717125	-0.684629406576547	"IS01"	0.998578584494577
"PCDHA11"	"PCDHA11"	0.997981216990389	0.130247093838433	-0.895817559342742	"IS01"	0.997981216990389
"PCDHA10"	"PCDHA10"	0.996348976950479	0.0350602395877753	-0.789830566173122	"IS01"	0.996348976950479
"ZNF692"	"ZNF692"	0.9818824849579	-0.501821335065917	-0.188066893326787	"IS01"	0.9818824849579
"SSPO"	"SSPO"	0.98071986541656	0.186898325004402	-0.945149083315884	"IS01"	0.98071986541656
"VIPR2"	"VIPR2"	0.969532773581495	0.0587444545814801	-0.79567645294434	"IS01"	0.969532773581495
"TM7SF2"	"TM7SF2"	0.949424379004998	-0.320770015337739	-0.362846506513264	"IS01"	0.949424379004998
"SCNN1D"	"SCNN1D"	0.944787363178997	-0.403730761489054	-0.268049153995067	"IS01"	0.944787363178997
"AMT"	"AMT"	0.941447597611347	-0.127430856692083	-0.569608174954435	"IS01"	0.941447597611347
"MAPK8IP3"	"MAPK8IP3"	0.941349611018492	0.396631580711122	-1.14628236788719	"IS01"	0.941349611018492
"TMEM132C"	"TMEM132C"	0.927900466021937	0.169161189056783	-0.885803030882535	"IS01"	0.927900466021937
"NNAT"	"NNAT"	0.925308531751216	0.0823399083104059	-0.788299020519604	"IS01"	0.925308531751216
"FOXD2"	"FOXD2"	0.925159496842175	-0.223499846772345	-0.45159986541334	"IS01"	0.925159496842175
"MTERF1"	"MTERF1"	0.923630986263366	0.101854903180465	-0.80851105216794	"IS01"	0.923630986263366
"UNC5D"	"UNC5D"	0.915411916006398	-0.0198899685981041	-0.668329620885052	"IS01"	0.915411916006398
"TSPEAR"	"TSPEAR"	0.913844858856306	-0.351957089697655	-0.301697193948691	"IS01"	0.913844858856306
"DLEC1"	"DLEC1"	0.903791636564011	-0.0921317379332545	-0.580063487345635	"IS01"	0.903791636564011
