"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"IGF2__pos"	4.53804518306787	3.74705937296658	1.97391454535728	0.165306710997378	2.22044604925031e-16
"MDM2__pos"	2.30867601282032	4.51913288219525	1.08063319862699	2.91502670912358	2.22044604925031e-16
"MMP9__pos"	2.22044604925031e-16	2.85195559899008	2.22044604925031e-16	3.82239146909595	3.78384694520509
"DLK1__pos"	2.63548325529529	4.9844175681614	3.14267600601082	2.22044604925031e-16	2.22044604925031e-16
"CLEC3B__pos"	6.8708768347807	0.584410933948449	2.22044604925031e-16	2.81432265895159	0.21220395546401
"TNXB__pos"	6.93023349312937	0.630728948753866	2.22044604925031e-16	2.62403425839852	2.22044604925031e-16
"THBS4__pos"	2.66806445244488	6.48479229349583	0.00580314395974829	0.835788241043356	0.39871658108313
"CTSK__pos"	2.22044604925031e-16	3.67788036024755	1.05677187011227	2.15164348160031	2.97243072874591
"ACP5__pos"	2.22044604925031e-16	1.20831051990785	2.22044604925031e-16	5.72054492159058	3.39557719024382
"RPS4Y1__pos"	2.11255773373513	3.09606666126825	1.31701027116203	2.91483884763115	1.02829153195094
"CFD__pos"	6.51366386121311	0.123773602102319	0.1765426511363	3.64448357729826	2.22044604925031e-16
"TNNT3__pos"	5.61287280550184	1.94906658891501	1.07766205517595	0.945106838337459	0.633664605981082
"IGFBP6__pos"	4.45099643608069	0.147143097040018	2.22044604925031e-16	3.45535727332393	1.3958291283691
"MEST__pos"	4.17765750726146	4.67446720803947	1.15586134211046	2.22044604925031e-16	2.22044604925031e-16
"SFRP2__pos"	2.0319201456461	5.09269242830248	1.34081748710443	1.09278612485667	0.0877861507878781
"TSPAN31__pos"	2.27790327107502	5.85350005435508	0.996331205021835	0.882704906754558	0.0555192608797222
"DES__pos"	2.98566298089505	5.71699711143094	2.22044604925031e-16	0.373116872900059	1.63839947253188
"SFRP4__pos"	1.88831908597128	4.33861623103233	2.22044604925031e-16	3.07624017232599	1.02524194297795
"DPT__pos"	2.71830002438612	3.74344608847015	2.22044604925031e-16	1.9871037734545	1.24913827219946
"MFAP5__pos"	5.58663249542555	1.63960776659062	2.22044604925031e-16	1.6176419741458	0.499486720047305
"C4A__pos"	1.8297575084888	3.83638155336601	2.22044604925031e-16	4.72984661591377	0.00284455889803644
"CFB__pos"	3.99944621478906	1.01941535806259e-06	2.22044604925031e-16	6.23728092208594	0.118044574159903
"C4B__pos"	1.81599839882722	3.82115953172874	2.22044604925031e-16	4.74926576780229	2.22044604925031e-16
"MMP1__pos"	1.83163119650065	2.00421082696974	0.2646791475816	2.24749983050957	4.07451560409809
"ITM2A__pos"	3.22398173376862	5.07188173659371	0.296255215579833	1.39244012984129	2.22044604925031e-16
"ASPN__pos"	2.32417093015754	6.14981658887	2.22044604925031e-16	0.49984582133241	1.17409182256516
"GPC3__pos"	4.84238842670021	3.84310689611213	1.15365115003634	0.603472686546397	0.155588741026066
"CPZ__pos"	4.11816753040035	3.56208044871302	2.22044604925031e-16	2.40371642843491	0.0616642626129776
"PTN__pos"	1.20972279181469	5.44438970706062	1.13404413578943	1.77215735398336e-10	1.82574711344073
