"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"APOL1"	"APOL1"	0.816666026299605	0.0259884773200615	-0.996253896075489	"S01"	0.816666026299605	"IS01"
"LAMP1"	"LAMP1"	0.691963067034579	0.101998431408232	-0.925173896262087	"S01"	0.691963067034579	"IS01"
"FCGR3B"	"FCGR3B"	0.655647167898161	0.47869567540534	-1.26376714987862	"S01"	0.655647167898161	"IS01"
"VNN2"	"VNN2"	0.649816617385426	0.280502634261643	-1.05600464035425	"S01"	0.649816617385426	"IS01"
"ATF5"	"ATF5"	0.629811227612992	-0.0514040471421762	-0.695909316799964	"S01"	0.629811227612992	"IS01"
"PLAU"	"PLAU"	0.576269187210658	0.130981205167631	-0.817138854767848	"S01"	0.576269187210658	"IS01"
"FPR2"	"FPR2"	0.568481744908655	0.542577331623652	-1.22497870114484	"S01"	0.568481744908655	"IS01"
"XXbac.BPG116M5.17"	"XXbac.BPG116M5.17"	0.568092774174104	0.408701512485207	-1.08885441876018	"S01"	0.568092774174104	"IS01"
"SLC12A8"	"SLC12A8"	0.505333933192322	0.199405759269185	-0.802229790140055	"S01"	0.505333933192322	"IS01"
"FCAR"	"FCAR"	0.494862510235281	0.154651185999757	-0.744441539253331	"S01"	0.494862510235281	"IS01"
"CLDN14"	"CLDN14"	0.416854547616138	0.150402451235376	-0.647489452924406	"S01"	0.416854547616138	"IS01"
"SAMD9"	"SAMD9"	0.409235624645612	0.266152955240224	-0.755735921694933	"S01"	0.409235624645612	"IS01"
"ZNF385A"	"ZNF385A"	0.392644146851958	0.0973439746172744	-0.564969302983467	"S01"	0.392644146851958	"IS01"
"TMEM255B"	"TMEM255B"	0.361189760471469	0.183244902618027	-0.614659529267952	"S01"	0.361189760471469	"IS01"
"PCID2"	"PCID2"	0.320434078472043	-0.267098417545255	-0.109902877753715	"S01"	0.320434078472043	"IS01"
"TRIM7"	"TRIM7"	0.291095165929157	0.20943582115949	-0.557951658875645	"S01"	0.291095165929157	"IS01"
"FBXO39"	"FBXO39"	0.247350459510377	-0.112294567643748	-0.179974274108109	"S01"	0.247350459510377	"IS01"
"STC2"	"STC2"	0.152131222678082	-0.104331790835875	-0.074955575669725	"S01"	0.152131222678082	"IS01"
"KCNH1"	"KCNH1"	0.00893137977826356	-0.0191298778246095	0.00877774541505686	"S01"	0.00893137977826356	"IS01"
"SPANXA1"	"SPANXA1"	-0.656808867101942	1.07199097225622	-0.306232864502201	"S02"	1.07199097225622	"IS02"
"CCL7"	"CCL7"	0.0236609199611826	0.725790305235528	-0.763576622924012	"S02"	0.725790305235528	"IS02"
"AL365273.1"	"AL365273.1"	0.226703734398206	0.668903476547581	-0.947075764627487	"S02"	0.668903476547581	"IS02"
"ACSL4"	"ACSL4"	0.229419293725233	0.655676575799588	-0.936897509475589	"S02"	0.655676575799588	"IS02"
"AQP9"	"AQP9"	0.287083001880157	0.636099132968067	-0.985543487267343	"S02"	0.636099132968067	"IS02"
"MS4A6E"	"MS4A6E"	0.278554250962837	0.631242509795437	-0.970492829668503	"S02"	0.631242509795437	"IS02"
"GFPT2"	"GFPT2"	0.242403461527594	0.617561422374619	-0.913694459883616	"S02"	0.617561422374619	"IS02"
"TREM1"	"TREM1"	0.445875422625027	0.611733340972786	-1.14944337873225	"S02"	0.611733340972786	"IS02"
"CXCL3"	"CXCL3"	0.374753219218863	0.424939361499796	-0.875687996989085	"S02"	0.424939361499796	"IS02"
"ITGB3"	"ITGB3"	0.0891415615158488	0.41254791561086	-0.523922686460186	"S02"	0.41254791561086	"IS02"
"SLAMF9"	"SLAMF9"	0.138769139132049	0.408389700456804	-0.578649491392038	"S02"	0.408389700456804	"IS02"
"CCL26"	"CCL26"	0.324439181309256	0.40163826796628	-0.792320174948633	"S02"	0.40163826796628	"IS02"
"HK2"	"HK2"	-0.0235250049348733	0.38842722168601	-0.365670948558167	"S02"	0.38842722168601	"IS02"
"ITGA5"	"ITGA5"	0.292637588720841	0.38368343814182	-0.736356383386814	"S02"	0.38368343814182	"IS02"
"PAX8"	"PAX8"	-0.185105895374888	0.38309569597114	-0.16836570107681	"S02"	0.38309569597114	"IS02"
"CTSB"	"CTSB"	-0.0554443269796084	0.362093461254722	-0.301076591997936	"S02"	0.362093461254722	"IS02"
"RPTN"	"RPTN"	0.266979696214218	0.332445482845345	-0.653961925826639	"S02"	0.332445482845345	"IS02"
"CALR3"	"CALR3"	-0.307150225376108	0.296048446413991	0.0647898736802159	"S02"	0.296048446413991	"IS02"
"HEPACAM2"	"HEPACAM2"	0.00327812411909106	0.269090048136426	-0.276574192853497	"S02"	0.269090048136426	"IS02"
"ASCL1"	"ASCL1"	0.136631535166245	0.226628973847422	-0.391924528191285	"S02"	0.226628973847422	"IS02"
"MARCH1"	"MARCH1"	0.0457834078599509	0.111833814795537	-0.167701132417971	"S02"	0.111833814795537	"IS02"
