"TCGA.3R.A8YX"	"TCGA.DX.A1KX"	"TCGA.DX.A1L1"	"TCGA.DX.A23U"	"TCGA.DX.A3U6"	"TCGA.DX.A6BG"	"TCGA.DX.A6YQ"	"TCGA.DX.A6YR"	"TCGA.DX.A6YV"	"TCGA.DX.A6YX"	"TCGA.DX.A7EF"	"TCGA.DX.A8BG"	"TCGA.DX.A8BH"	"TCGA.DX.A8BM"	"TCGA.DX.A8BO"	"TCGA.DX.A8BP"	"TCGA.DX.A8BR"	"TCGA.DX.A8BS"	"TCGA.DX.A8BT"	"TCGA.DX.AATS"	"TCGA.DX.AB2Q"	"TCGA.DX.AB2Z"	"TCGA.DX.AB36"	"TCGA.FX.A2QS"	"TCGA.FX.A3TO"	"TCGA.HB.A2OT"	"TCGA.IE.A6BZ"	"TCGA.QC.A6FX"	"TCGA.QC.AA9N"	"TCGA.SG.A6Z4"	"TCGA.SG.A849"	"TCGA.SI.A71O"	"TCGA.SI.A71P"	"TCGA.UE.A6QU"	"TCGA.VT.A80G"	"TCGA.VT.A80J"	"TCGA.X6.A8C2"	"TCGA.X6.A8C3"	"TCGA.X6.A8C4"	"TCGA.X6.A8C6"	"TCGA.3B.A9HJ"	"TCGA.3B.A9HL"	"TCGA.DX.A1KY"	"TCGA.DX.A1L0"	"TCGA.DX.A1L2"	"TCGA.DX.A23R"	"TCGA.DX.A2IZ"	"TCGA.DX.A2J0"	"TCGA.DX.A3LY"	"TCGA.DX.A3M1"	"TCGA.DX.A48N"	"TCGA.DX.A6YS"	"TCGA.DX.A6YT"	"TCGA.DX.A6YU"	"TCGA.DX.A6YZ"	"TCGA.DX.A6Z0"	"TCGA.DX.A7EI"	"TCGA.DX.A7ES"	"TCGA.DX.A8BU"	"TCGA.DX.A8BV"	"TCGA.DX.AB2H"	"TCGA.DX.AB2J"	"TCGA.DX.AB2O"	"TCGA.DX.AB2T"	"TCGA.DX.AB2V"	"TCGA.DX.AB30"	"TCGA.DX.AB32"	"TCGA.DX.AB3B"	"TCGA.FX.A3NK"	"TCGA.HB.A3YV"	"TCGA.IE.A4EJ"	"TCGA.K1.A6RU"	"TCGA.MB.A8JK"	"TCGA.MO.A47P"	"TCGA.QQ.A5VA"	"TCGA.QQ.A8VB"	"TCGA.QQ.A8VG"	"TCGA.QQ.A8VH"	"TCGA.RN.A68Q"	"TCGA.RN.AAAQ"	"TCGA.SG.A6Z7"	"TCGA.SI.A71Q"	"TCGA.SI.AA8C"	"TCGA.UE.A6QT"	"TCGA.VT.AB3D"	"TCGA.WK.A8XQ"	"TCGA.WK.A8XT"	"TCGA.X6.A8C7"	"TCGA.X9.A973"	"TCGA.Z4.A9VC"	"TCGA.Z4.AAPF"
"PDCD6IP"	0.85752876468186	-1.16655473351368	1.67136266172369	-0.0638739505611625	-0.85070581143723	0.994952867794124	1.25742414412061	0.0569299840752065	1.61759002786388	1.38934002696309	1.29229689012014	0.912450195312052	0.661953978431693	-1.46766684397312	0.103646095927334	1.61240753556364	-0.553883564344498	0.728023908252455	0.521378021888744	1.12826478313392	1.70886776099181	1.65491612299642	0.430167284294024	0.272295140392199	1.54219337477639	1.00462864603832	1.22488980460091	0.473346457728731	0.398912689299026	1.00278117222113	0.574635787447321	1.67859918360006	1.34849236852005	1.85831952615344	1.31300926887603	1.82754264716091	1.38068124947893	1.2705153458768	0.368798505940873	0.814359437648578	-0.143277758877959	0.151448274556642	-0.0880869526490693	-1.48847127436574	1.47370585112654	0.63491599930421	0.0545079898258406	-0.816522066417565	-0.544425604338432	-0.301176454784794	0.25057517848921	1.2280117030032	1.07176851474019	0.527233782579208	-1.10991805660715	1.02174469840928	-1.71484223242964	-0.920693626565101	0.806948413873746	0.865657244368361	-1.7873906808428	-0.0875961002044488	0.347764603456419	0.579559898066913	0.0821527228338565	0.14656602791313	-1.65941867127827	0.467286667010632	-1.44846253488291	-0.681775635035983	0.300768887387063	0.718738626486677	0.559993018610557	1.45925338217809	1.30336394265779	-0.561511074831378	0.959968530485425	0.177563364522807	0.818381481814943	-1.14842886981839	-0.381056513403184	0.322823567454876	0.0573758510956031	0.378786345988064	-0.849361780895552	1.16627179007322	0.338154928628084	0.817620721526944	-0.355757896255646	0.676433884072927	-1.03268142078612
"STRIP2"	0.206266371003045	0.476773628694408	1.2681453162611	-1.24725737120124	-1.0129082228898	0.456355153432996	1.46085417523755	-0.227772075445883	1.02261611244899	1.83480317162395	1.41262574370857	0.497038690119944	1.66382939835449	0.859486143613501	1.3891789629992	-0.160899790367304	-1.25913002634703	0.933922489132347	-0.722647315553678	0.971583907192767	1.46136641695563	1.50233659525616	1.34298649257115	-0.403588548683925	2.05611180777864	1.52054486716177	1.0501433041334	0.790041243150914	1.18311842942133	0.8429266867097	1.64889815371057	0.933385955112298	-1.01934164459989	1.21420743872785	1.3575530762252	1.49916855452028	1.46587266378824	1.57297053621673	1.50554024317534	0.842631108963207	-0.0247727800416664	-0.408943311072711	1.09000084632802	0.557411390693045	-0.690142060908915	0.712949393334198	-0.289023857510825	-0.428357470275209	-0.700814910395338	-1.01560119561865	0.376885458014654	-0.858682118948686	1.23907098172021	0.570316742247788	-0.415640041614373	0.936058459071185	-0.0874339900807382	-1.07449804310275	1.06734031926099	-1.07062512918651	0.378338586011158	-1.07609747157659	0.920448422749809	0.758125146626869	-0.542150830385432	0.529205443078437	-0.368250859654531	-1.11326531934549	-0.762547881618917	1.13131639535259	0.234927566916591	-0.397579303324278	0.415896998809828	1.4400159771685	-1.0532697695394	0.937454491314194	-1.15840185197671	-0.990649841141083	-1.07533230527918	-1.01544188435309	-0.50497259566334	1.56610763878227	1.59046794839208	-1.08275882558339	-1.07015390409562	0.43666253207804	-1.09459301748039	-1.0961155112188	0.97835800259489	-0.552430232193821	0.750664709282263
"DPP9"	1.10989460173915	1.03303766768288	1.29483465489032	-0.218386299735091	-1.46628150126676	0.165607239143145	1.42948805250641	1.0987052506747	1.1713286662639	1.06538628851462	1.21695130398804	0.506465674255932	1.40662815748743	1.05440811926265	-0.449991399715478	1.23039988031045	0.18062125019193	1.27008690245183	1.02706939326212	0.0814838804303804	1.26702114216352	1.19419533140304	0.990081180607382	1.07387218619119	0.537042026560843	0.379613564674648	-0.1718970631337	1.22664614842811	0.666113777157556	1.05470184881597	1.1476464811808	1.03849393532204	1.1576765385815	1.33013548911673	0.503948958141484	1.2983452103139	1.11929763840946	1.22799738083775	1.00815077277184	-1.28677610547757	-0.50646955274296	0.457668576119092	0.197517092007421	1.10746885273209	1.00288181626006	0.516136254664087	1.16999149620625	0.466077125327451	-0.304388389178721	0.333806112063497	-0.284826838095685	1.26533715737708	0.999247750823372	0.812806667102603	-0.211450343756848	-0.895534787578364	1.01793707855372	-0.535976493160485	1.25891426550826	0.0415139925303393	0.3050620488102	-1.55527368921191	1.19052469862183	1.22515783155712	1.06961561473317	-1.20458370189087	0.448092281709305	-1.23152845392415	-1.04911665681469	-0.264190620298214	1.17541647429164	0.608552560038072	-0.94277468383462	-0.790233026144039	1.08221335511176	0.309807698712212	1.27641217949547	0.019212301499529	0.0914929136818092	-1.16068733324132	-1.87143288919298	-2.10281257084268	-1.67056318509593	-0.0292896874189479	1.09006060022516	-0.739603508835777	-1.22324597497333	-0.866025936787517	1.19566250200703	-2.14069016354853	-1.84486798348048
"KLHL21"	0.916320475441034	-0.542779809426985	0.845267745362299	1.40870491391989	-1.341076297228	-1.94826503612753	1.25673396085773	1.03943866534738	1.01664546395183	1.2567904374023	1.37576338210825	-0.579630553182003	0.91822057804086	1.09118610963261	0.985582297039749	1.33197011118692	0.599823684826042	0.648420517007071	-0.129197340598936	-0.208906225779042	1.04039387673803	1.01654349235334	0.331884554136152	1.01930616924163	0.896320693715793	0.956678572221573	1.38182294287197	1.33317448679684	0.547271843647283	0.251911906369102	1.46955578140406	-0.763419275464261	0.959443513619398	0.98500818356188	0.744205467260726	1.20850248746145	1.23181821103646	1.28265707460132	1.21431819604163	0.804734843447461	-1.03131989044155	-1.49080660482025	0.872032848876625	-1.92460803644327	1.08167275330324	0.937796396761042	-0.218147230131952	-0.53492380941046	-0.447620271233994	-0.245573609104552	-0.350155077622106	1.27315750894325	0.997675364178705	0.21295810245625	1.07311462762314	0.980547506421049	-0.552219707501312	-0.88987932625707	1.22176718568009	-0.271407958830686	-0.107986895221757	0.192231422988202	0.891110772786416	1.00226675184609	1.30641604403657	-0.00344832872772844	0.938118064434546	-0.0602013975948682	-0.6630130609354	-0.141675796348497	1.22913289690132	0.327830796509231	0.621285119974438	1.42705673600047	-1.61381635151329	0.79497407748872	0.576588974395506	-0.420739625081803	0.523298286594773	0.629242191519372	-1.29982820999395	-0.892944092337031	-1.55471598098566	1.0211580330233	-0.454158500073518	-0.751658824043613	-1.77407371794547	-0.312282708128711	0.409759173711025	-0.270790916690521	0.917641857665838
"RAD18"	1.67469947714805	-0.959944128640479	0.704942794078842	0.212107288374947	-1.00945833562648	-0.824544030684463	1.77534797061438	-0.085553723124107	2.24318596201269	1.97908575774516	0.0839199696028589	0.635781500003358	0.559439235931358	0.629961480840355	-0.64776070844461	1.380626763175	0.579942068756235	1.0059299986336	-0.83937201532616	0.569213922983119	1.08005582514595	1.46153225497367	0.4670488036207	1.58414404406677	0.697762520086702	-0.821729567250687	0.675817937123836	0.324261552419026	1.75173857545589	0.702795017688445	0.635474368047191	1.43697147635593	-0.103168876382944	1.51460832139579	-0.570295862862425	2.11022903019479	1.64246620407558	1.21172870253916	1.34529161321281	-0.323386719800622	-0.927851210148142	0.580441278833454	2.19748221211162	0.675061946862458	0.61376840421772	1.46165317012506	0.738647602608675	-0.834473662319633	-0.682637083346722	-1.02503535519977	0.662496682447637	-0.898660529476892	1.42248682734885	0.652534669390198	-0.89879832350346	-0.604463749775849	0.967938815164004	-0.966105338081223	1.3656297882668	0.290416935687229	0.623239996257166	-0.94513650292457	0.529338288896176	0.28460741913029	-1.0951203372321	0.651281146611004	-0.928631068321642	-0.728574598648653	-0.351541530185983	0.585622048888928	-0.712253406022125	-0.785216996157215	1.10698290279337	-0.642633293961917	2.05648891129663	0.865319112877522	-0.63929294400945	2.32954599894416	-1.08789856886694	-0.944603450261255	-0.0536977160112442	1.86998952933072	-0.66568655948363	0.955120307105756	-1.06607246896011	1.26149706094148	-1.04872502593814	-0.751870338722971	-0.921748650338734	-0.798348986307953	-0.846940132597233
"CTD.2370N5.3"	-0.110163187503443	-0.598904374175627	1.26945433316445	1.28009172553199	-0.335204049442244	1.31696191906696	1.254343537148	0.00351656920041444	0.456121984895041	-0.245278818444921	0.0806569700912179	0.360095914976208	-0.743402251384217	1.3778056719188	-0.31092546981224	0.375322784455223	-1.02958882206987e-05	1.2770251675737	-0.225713160978998	1.27541160980415	0.0471824887226479	1.28056404474022	1.31787031045519	1.26234256237177	0.103388056320367	1.29301049877271	1.32339145773359	0.136272667285222	-0.268271827235516	1.28627815828356	1.26384402800754	0.0560585160144624	1.3143895699488	1.27656773883343	1.29922472834546	1.28992523788864	1.30446754673289	1.36778269716401	1.32993789457539	-0.83488507585273	1.30443505012743	-0.225467397613675	-0.629344432794185	-1.35709580835615	1.2767380765205	-0.233174518014538	-0.192774359184536	-0.287038965639494	0.356041039367308	-1.08479819703283	1.2588123626319	-1.39181876049637	-1.33357856468282	1.27891151709443	0.0358695914848602	0.0987084775604307	-0.0510298897832572	-0.246495306142216	1.33038888204055	-1.47064393707029	-1.00828650330579	-1.03435136568459	-1.09255196490988	-0.0434852899355844	-0.944769696197262	-1.47064393707029	-0.255902475051919	-1.38679784301834	1.30656205557995	-1.3844167276813	-1.30801589840622	0.122090979467549	1.36630392156973	1.27116629462492	1.7927449042443	-0.211247270705938	1.32935828425327	-1.47021192198085	1.2696278260216	-0.502049401017784	-0.708658814297954	-1.33534396276539	0.0495936996678907	1.30816350930674	0.0322963197402244	-0.0898215748993698	-1.23592498278829	-0.731971168079674	-1.066300671914	-1.31243074082349	-0.0484992943515812
"MME"	2.2284396427472	-0.833584071813548	-0.786649791450706	0.416670051818573	0.380749326416715	0.313800086496334	1.58133847564442	0.762612755594458	1.00502683660167	1.55248100915446	1.4899175702693	-0.941357044627298	1.98667054397553	-0.885132786399134	1.7209348620841	2.05402612978723	-0.86354820991047	1.32790111198339	-0.88869502222676	0.898505170278216	1.39592454571254	1.41188825975325	0.358428121384482	-0.817339999678367	1.01337817029235	1.47400250487285	-0.76797953221762	-0.769125248594252	2.58255250790056	0.401144919240606	1.10883135316975	1.72696522445767	-0.801743087913063	-0.803259271980522	0.445886479190258	1.89229801635187	0.312449717236823	1.63402601991091	1.70594555939993	-0.862895205106547	-0.904416478339439	-0.780496702416229	0.894634010343702	-0.920467889199663	-0.955095736995024	1.36609278898477	-0.790140092489623	-0.877020886910311	-0.96024942609563	-0.0920974523259784	0.321501336840863	-0.872726525642658	-0.820332235146304	-0.964790655770743	-0.825335313639221	-0.76001253994374	-0.758968862676602	0.314825502542538	1.83614031481402	0.417890972261679	0.312449717236823	-0.953708690534468	-0.841083639650644	-0.905712107005234	-0.95370052351016	1.8288155953849	-0.850469088763345	0.624763898851598	-0.812172668623993	0.689803947039419	-0.864343293731542	-0.965155943757461	0.650720097670591	-0.966773647879925	1.77666541316005	0.386556294450932	-0.936357742096319	1.10285285237451	-0.946116952980978	-0.94571986857691	1.07800424791047	0.312449717236823	0.49242861814769	-0.860320221644256	-0.120690318662761	-0.885815367281952	-0.948367953171828	-0.959358311063522	-0.820960835381344	-0.857413795568811	-0.804193113230644
"SPANXC"	1.31363517897595	1.31363517897595	0.24160032573116	1.31972823631776	1.31363517897595	0.504383369412607	1.64062927489788	-0.86352806314924	-0.86352806314924	1.32738362444416	-0.86352806314924	1.31363517897595	1.33941609240328	1.31363517897595	1.31363517897595	-0.86352806314924	0.563848240164495	0.363491634933232	0.578337692047813	0.554722967948884	1.48272498097378	1.44219226794447	0.154718232550291	0.773356031931545	1.31363517897595	1.34891410571659	-0.86352806314924	1.39722851967238	-0.86352806314924	-0.86352806314924	1.37173635516497	1.4625346636413	0.146060709209562	1.39879111403528	1.38904413929262	-0.250382978585702	1.31363517897595	-0.86352806314924	-0.86352806314924	1.31363517897595	1.31363517897595	-0.863500942799015	1.31363517897595	-0.86352806314924	-0.86352806314924	-0.86352806314924	-0.86352806314924	1.31363517897595	-0.86352806314924	-0.86352806314924	1.31363517897595	-0.86352806314924	-0.86352806314924	-0.86352806314924	1.33308753986971	-0.86352806314924	-0.206816303228336	-0.86352806314924	-0.86352806314924	-0.86352806314924	-0.212543349253384	-0.091300702349086	-0.863525621760298	-0.86352806314924	0.0217089302626169	-0.86352806314924	-0.86352806314924	-0.86352806314924	-0.86352806314924	-0.86352806314924	-0.86352806314924	-0.859170561950244	-0.221039522556979	-0.86352806314924	-0.86352806314924	1.31363517897595	-0.86352806314924	-0.86352806314924	-0.86352806314924	1.32374373470853	1.32267864310571	1.35159655291036	-0.86352806314924	-0.86352806314924	-0.326104278255559	-0.86352806314924	-0.86352806314924	0.851468209450269	1.40132379457229	-0.86352806314924	-0.86352806314924
"RP11.73M18.2"	1.09343942145192	0.415129079054486	0.940297314179495	0.660940055803013	-1.28274965469344	-0.394887046904102	1.54420484261268	1.34756604112587	-0.294442754385536	1.64074354945049	1.61250426569063	-0.522527315334988	1.2075083295942	-1.64626185324863	-0.458768465613043	1.4529251647254	0.318898484024215	-0.196375117741383	1.1863435444919	-0.733588942048866	1.63190223896599	1.2371248147002	-0.125950891077059	0.969106383991021	-0.236686576743672	1.02631856961667	-0.519196890882941	1.10816446421028	0.266112512782857	1.10292350093422	1.25602364025953	1.04564703554746	0.00174546007068007	1.82170599606484	0.91277271650001	1.80694512257035	0.164315150635999	1.60092982848527	1.25216427468433	-0.284501211703909	0.40866846848489	-0.462987820260254	-0.0210579093964473	-0.471348134269296	-0.479146625859916	0.939125275006962	0.427249004718726	-0.99725154211784	-0.462735854854867	0.995787454138305	-0.747339733703062	-0.712972721552943	1.08462832758389	-0.646010630606417	-0.741315517947294	1.05141425334997	-1.20438520820232	-0.325154595024053	0.137556449638875	1.08595118598806	-0.648565237626102	-1.26727646013531	0.59978588827156	1.18461379886631	0.231781215034242	1.13011089733173	-1.22996851455227	-1.47675882633049	0.574460053240385	0.934091251226222	0.901011544200534	1.64689211589778	-1.57875691946103	1.06801830789024	1.29069027845918	-1.18492422914576	1.45378360298009	1.09823470510534	0.942690436074099	1.88532405548336	1.19821948143722	1.147014420018	-1.18237948392598	1.31974077444235	0.0192813916070274	1.08441055585348	0.274476919041913	1.08381419016291	-0.354773131127085	-0.723055140262248	-0.630041035041428
"TBC1D2"	1.22893040618846	0.335117176870429	1.18506023398787	1.53921182744567	-0.166397605040142	0.711738803918981	1.51531755740302	-0.297505134182862	0.335525900308694	-0.501867959073384	1.57974471790596	1.28084253498976	1.08353451171271	-0.973827144273163	2.04876250975643	1.63205843494018	1.4975883263579	1.07760373741085	0.710091895482722	-0.933036152487044	-0.961468378355766	1.83324034111003	1.11097864577645	-0.992469391973711	-0.214137128938617	1.20428479797966	0.204028936574115	1.59634450771673	1.5471773633921	-0.214617999240738	1.28718376830688	1.14674262881961	-0.245989750792692	1.28718349594883	-0.382618388392384	1.57987272550915	-0.532323102591511	-0.52596835007414	1.02144378985701	-0.782226413675331	-0.471212984779059	-0.975586225595272	-0.975038837693216	-0.938394608255767	-0.166126022080378	-1.08054655557947	1.28035198353575	-0.864631132399301	0.265762463435958	-0.789845246899131	-1.00276503945114	-1.06023690807977	1.64451611340424	-0.291900967056226	-0.879494804897686	-1.05185499545262	0.277214492008288	-0.304197062156235	-1.01162392024126	-0.659204843691782	-0.974575741383168	-0.978062998453638	-0.502429683268346	0.385774255825219	1.53529582720066	-0.9653142902624	1.15604691083952	-0.854475190535503	-0.90740177143201	-0.912477203322827	-0.724714489205191	1.23369050639653	1.09153892412377	-0.716592879554666	-0.45217250035596	-1.0094603768218	1.18416484189185	-1.03436202602004	1.30323639668647	0.144284338680904	-1.08413096330182	-1.21778429692239	-0.907172849372545	-0.696106397588611	-0.168054471016722	-1.08924644253708	-1.18099210479725	-0.983840441895694	0.25463388147404	-1.10253154108958	-0.653458074009062
