"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"DPP7"	"DPP7"	1.54398804077507	-0.351059287373208	-0.111051502980937	-0.512351020268151	"IS01"	1.54398804077507
"CCDC88B"	"CCDC88B"	1.44862133206971	-0.471111759133221	-0.0759105566887384	-0.377166116481278	"IS01"	1.44862133206971
"NKX6.2"	"NKX6.2"	1.43971347694551	-0.107527789674401	-0.227709378327613	-0.55803500165979	"IS01"	1.43971347694551
"NME3"	"NME3"	1.28806579661247	-0.178800921899954	-0.101627873703632	-0.524531913309433	"IS01"	1.28806579661247
"NDUFB1"	"NDUFB1"	1.23257530151363	0.0246167397418651	-0.157106616666626	-0.624100752707651	"IS01"	1.23257530151363
"RPLP2"	"RPLP2"	1.11532586643553	-0.183480481068599	-0.126940081045851	-0.388593368792043	"IS01"	1.11532586643553
"SLC22A18"	"SLC22A18"	1.11497482905681	-0.11867875473956	-0.170739993965991	-0.404845760654801	"IS01"	1.11497482905681
"STUB1"	"STUB1"	1.11389808205549	-0.227109808504337	-0.448752453840421	-0.0253255154818634	"IS01"	1.11389808205549
"AC104534.3"	"AC104534.3"	1.10804069563327	-0.0983231648687275	-0.188787700076422	-0.401463529293293	"IS01"	1.10804069563327
"FAM195A"	"FAM195A"	1.1040965384939	-0.817633228764232	-0.0350197548399216	0.116183035481398	"IS01"	1.1040965384939
"PNPLA6"	"PNPLA6"	1.07953676110369	-0.356786329970856	-0.55061870945308	0.21828523121609	"IS01"	1.07953676110369
"CAPN12"	"CAPN12"	1.0783666287304	0.39285992449077	-0.571782376144527	-0.457033072127524	"IS01"	1.0783666287304
"NDUFB11"	"NDUFB11"	1.05676653257156	-0.27766098273744	-0.385998516044615	-0.00591594700388729	"IS01"	1.05676653257156
"MRPL55"	"MRPL55"	1.04779015438484	-0.202101059244723	-0.400041539237605	-0.0566242578456283	"IS01"	1.04779015438484
"SDHA"	"SDHA"	1.04080542113455	-0.302768644608779	-0.0474994151254285	-0.311244193014619	"IS01"	1.04080542113455
"PHPT1"	"PHPT1"	1.03098308001538	-0.0243034485237497	-0.0687527129165324	-0.542932024103767	"IS01"	1.03098308001538
"ZNF317"	"ZNF317"	1.02497241189518	-0.0667720496814102	-0.356696685069506	-0.211792583861897	"IS01"	1.02497241189518
"EIF3C"	"EIF3C"	1.01150883674607	-0.0709983135031063	-0.266608434196427	-0.289667089432524	"IS01"	1.01150883674607
"ETFB"	"ETFB"	0.989545154976788	-0.468296069838085	0.307828640124322	-0.481088265168036	"IS01"	0.989545154976788
"GPS1"	"GPS1"	0.980669815309753	-0.269799096017207	-0.654582998304244	0.302173361724329	"IS01"	0.980669815309753
"FASTKD1"	"FASTKD1"	0.968601452090728	0.163607488738172	-0.241962669868173	-0.506108151293929	"IS01"	0.968601452090728
"ZNF524"	"ZNF524"	0.955586988098194	-0.434456005528256	0.312600870136874	-0.496441188948785	"IS01"	0.955586988098194
"HEMK1"	"HEMK1"	0.953312656601459	-0.475160731916917	-0.0660540199235831	-0.0785299996183719	"IS01"	0.953312656601459
"SLC12A5"	"SLC12A5"	0.946861739060647	-0.237371532319757	-0.00130712405705205	-0.360461862302214	"IS01"	0.946861739060647
"RELB"	"RELB"	0.946168781700265	-0.575045704984606	-0.123966109404532	0.0766743252988999	"IS01"	0.946168781700265
"CTU2"	"CTU2"	0.936858129894846	-0.045853787206315	-0.330732051393226	-0.203001835481886	"IS01"	0.936858129894846
"STXBP2"	"STXBP2"	0.933507294758205	-0.586687373596453	-0.0351218654838789	0.00644699250629321	"IS01"	0.933507294758205
"C4orf48"	"C4orf48"	0.93038814114956	-0.0435803868634717	-0.35397021353548	-0.17789752173495	"IS01"	0.93038814114956
"POLRMT"	"POLRMT"	0.929476491526047	0.0834717301930023	-0.431637320485869	-0.217833241270356	"IS01"	0.929476491526047
"SAC3D1"	"SAC3D1"	0.926450957461861	-0.509688530177257	-0.52062735323965	0.42468163175616	"IS01"	0.926450957461861
"NDUFS6"	"NDUFS6"	0.926426652683396	-0.441341206456835	-0.350837313400757	0.191340721150045	"IS01"	0.926426652683396
"C12orf10"	"C12orf10"	0.917515401359362	-0.161658600626151	-0.292174721929827	-0.121955766801509	"IS01"	0.917515401359362
"BABAM1"	"BABAM1"	0.87781833168486	-0.257813975386521	-0.342923006250063	0.0426436558404636	"IS01"	0.87781833168486
"DCTN1"	"DCTN1"	0.871881464384329	-0.0466795079316971	-0.24886540011192	-0.244125176566655	"IS01"	0.871881464384329
"RPL36"	"RPL36"	0.843821207844551	-0.0901506534130369	-0.353786248579149	-0.0815109650069164	"IS01"	0.843821207844551
"LENG9"	"LENG9"	0.841918999680034	0.0918684074555561	-0.232894745530848	-0.370517396597221	"IS01"	0.841918999680034
"EIF4EBP3"	"EIF4EBP3"	0.838787939672748	-0.323848678775655	0.259016917119081	-0.473868750772487	"IS01"	0.838787939672748
"CD7"	"CD7"	0.828088012831478	0.00389858793633298	-0.044574859656464	-0.46851254277941	"IS01"	0.828088012831478
