"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"ABCA9"	"ABCA9"	1.53384454439034	-0.154437729530351	-0.76916858519916	0.0695685201721765	-1.18068733532012	"IS01"	1.53384454439034
"ADGRG2"	"ADGRG2"	1.52936903407608	-0.149619073207934	-0.797520836452146	-0.331197392037522	-0.798082753741277	"IS01"	1.52936903407608
"FBN1"	"FBN1"	1.49669997503335	0.162279179675079	-1.17665783823525	-0.591137153532539	-0.5550012646598	"IS01"	1.49669997503335
"C17orf58"	"C17orf58"	1.4703408075711	-0.37382347957207	-0.730824173482302	0.103118621804219	-0.938375134549285	"IS01"	1.4703408075711
"PXN"	"PXN"	1.41576030727852	-0.51113403006246	-1.55382108517002	-0.331836794592363	0.286874874680624	"IS01"	1.41576030727852
"GAS7"	"GAS7"	1.41370205141055	0.0411406695332283	-0.84624835879668	0.0973125823264261	-1.20126550172723	"IS01"	1.41370205141055
"ADGRD1"	"ADGRD1"	1.39668110009116	-0.0274698929618371	-0.65075265226837	0.330732255264765	-1.46929618578626	"IS01"	1.39668110009116
"KLF4"	"KLF4"	1.39203456092816	-0.412565341162545	-1.01019580178239	0.0564251074793252	-0.548742363222773	"IS01"	1.39203456092816
"ADAMTS5"	"ADAMTS5"	1.38591677736648	-0.163153332600658	-0.864695731442093	-0.166303422605188	-0.707187413040232	"IS01"	1.38591677736648
"EMILIN2"	"EMILIN2"	1.37376799360785	-0.410095668602351	-1.51480385944251	0.551827191396258	-0.590191322061267	"IS01"	1.37376799360785
"AIF1L"	"AIF1L"	1.34531810566329	-0.363514953278291	-0.217620335757204	0.316219374617374	-1.37989617845275	"IS01"	1.34531810566329
"SCARA5"	"SCARA5"	1.34398670603373	-0.0789975051030527	-0.78515127803807	0.258817197456899	-1.18545709592558	"IS01"	1.34398670603373
"DENND2A"	"DENND2A"	1.33908224109191	0.156005561163713	-0.761576096809799	-0.607039146296138	-0.659204044742105	"IS01"	1.33908224109191
"RAB23"	"RAB23"	1.33203553262992	0.277182225929267	-1.13833175339538	-1.0541864456462	-0.0853893028188388	"IS01"	1.33203553262992
"EPB41L3"	"EPB41L3"	1.32100070324381	-0.175101798211102	-1.39539345846095	0.271064364137927	-0.605150207862235	"IS01"	1.32100070324381
"WNT10B"	"WNT10B"	1.3133647966643	-0.313470215512185	-0.200030439676683	-0.184017422727955	-0.955764006491433	"IS01"	1.3133647966643
"TGFBR3"	"TGFBR3"	1.30763524818158	-0.0770044755417566	-0.386998339535097	-0.428214434599778	-0.828763884004113	"IS01"	1.30763524818158
"SASH1"	"SASH1"	1.27606456988539	0.339611743546863	-0.757442824114376	-0.366036498757399	-0.990602535181613	"IS01"	1.27606456988539
