"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"CTSG"	"CTSG"	1.53173390616492	-1.53173390616492	"S01"	1.53173390616492	"IS01"
"CPA3"	"CPA3"	1.52420884542967	-1.52420884542967	"S01"	1.52420884542967	"IS01"
"MS4A2"	"MS4A2"	1.47030708825379	-1.47030708825379	"S01"	1.47030708825379	"IS01"
"HDC"	"HDC"	1.45946708602288	-1.45946708602288	"S01"	1.45946708602288	"IS01"
"GATA1"	"GATA1"	1.40029006736956	-1.40029006736956	"S01"	1.40029006736956	"IS01"
"TPSAB1"	"TPSAB1"	1.37417739947876	-1.37417739947876	"S01"	1.37417739947876	"IS01"
"RAB44"	"RAB44"	1.36318210389145	-1.36318210389145	"S01"	1.36318210389145	"IS01"
"CMA1"	"CMA1"	1.35902153004126	-1.35902153004126	"S01"	1.35902153004126	"IS01"
"RGS13"	"RGS13"	1.34912399273743	-1.34912399273743	"S01"	1.34912399273743	"IS01"
"SIGLEC6"	"SIGLEC6"	1.32120413880414	-1.32120413880414	"S01"	1.32120413880414	"IS01"
"TPSB2"	"TPSB2"	1.26277065953364	-1.26277065953364	"S01"	1.26277065953364	"IS01"
"TESPA1"	"TESPA1"	1.24143254579738	-1.24143254579738	"S01"	1.24143254579738	"IS01"
"GRAP2"	"GRAP2"	1.20982931209569	-1.20982931209569	"S01"	1.20982931209569	"IS01"
"ACKR1"	"ACKR1"	1.16256297715276	-1.16256297715276	"S01"	1.16256297715276	"IS01"
"KRT1"	"KRT1"	1.15091054320251	-1.15091054320251	"S01"	1.15091054320251	"IS01"
"P2RX1"	"P2RX1"	1.13008323643445	-1.13008323643445	"S01"	1.13008323643445	"IS01"
"C1orf186"	"C1orf186"	1.1242824005701	-1.1242824005701	"S01"	1.1242824005701	"IS01"
"IL5RA"	"IL5RA"	1.10230920660682	-1.10230920660682	"S01"	1.10230920660682	"IS01"
"SIGLEC8"	"SIGLEC8"	1.0962707790987	-1.0962707790987	"S01"	1.0962707790987	"IS01"
"CSF2RB"	"CSF2RB"	1.08782559676121	-1.08782559676121	"S01"	1.08782559676121	"IS01"
"BTK"	"BTK"	1.04488152939817	-1.04488152939817	"S01"	1.04488152939817	"IS01"
"SLC18A2"	"SLC18A2"	0.990941513423535	-0.990941513423535	"S01"	0.990941513423535	"IS01"
"HPGD"	"HPGD"	0.971479818338542	-0.971479818338542	"S01"	0.971479818338542	"IS01"
"UNC13D"	"UNC13D"	0.963987278506696	-0.963987278506696	"S01"	0.963987278506696	"IS01"
"RAB37"	"RAB37"	0.960926526776929	-0.960926526776929	"S01"	0.960926526776929	"IS01"
"ERVFRD.1"	"ERVFRD.1"	0.911357262071556	-0.911357262071556	"S01"	0.911357262071556	"IS01"
"PRG2"	"PRG2"	0.911243044209669	-0.911243044209669	"S01"	0.911243044209669	"IS01"
"DHRS9"	"DHRS9"	0.897419292502545	-0.897419292502545	"S01"	0.897419292502545	"IS01"
"TPSD1"	"TPSD1"	0.895815261034142	-0.895815261034142	"S01"	0.895815261034142	"IS01"
"TLDC2"	"TLDC2"	0.885710191428437	-0.885710191428437	"S01"	0.885710191428437	"IS01"
"SVOPL"	"SVOPL"	0.856940187226892	-0.856940187226892	"S01"	0.856940187226892	"IS01"
"ADCYAP1"	"ADCYAP1"	0.838041394084464	-0.838041394084464	"S01"	0.838041394084464	"IS01"
"ADM5"	"ADM5"	0.83108809615988	-0.83108809615988	"S01"	0.83108809615988	"IS01"
"ALOX5"	"ALOX5"	0.817774218533495	-0.817774218533495	"S01"	0.817774218533495	"IS01"
