"Gene"	"IS01"	"IS02"	"State"	"MaxFC"
"CTSG"	"CTSG"	1.53173390616492	-1.53173390616492	"IS01"	1.53173390616492
"CPA3"	"CPA3"	1.52420884542967	-1.52420884542967	"IS01"	1.52420884542967
"MS4A2"	"MS4A2"	1.47030708825379	-1.47030708825379	"IS01"	1.47030708825379
"HDC"	"HDC"	1.45946708602288	-1.45946708602288	"IS01"	1.45946708602288
"GATA1"	"GATA1"	1.40029006736956	-1.40029006736956	"IS01"	1.40029006736956
"TPSAB1"	"TPSAB1"	1.37417739947876	-1.37417739947876	"IS01"	1.37417739947876
"RAB44"	"RAB44"	1.36318210389145	-1.36318210389145	"IS01"	1.36318210389145
"CMA1"	"CMA1"	1.35902153004126	-1.35902153004126	"IS01"	1.35902153004126
"RGS13"	"RGS13"	1.34912399273743	-1.34912399273743	"IS01"	1.34912399273743
"SIGLEC6"	"SIGLEC6"	1.32120413880414	-1.32120413880414	"IS01"	1.32120413880414
"TPSB2"	"TPSB2"	1.26277065953364	-1.26277065953364	"IS01"	1.26277065953364
"MAS1L"	"MAS1L"	1.26047805232656	-1.26047805232656	"IS01"	1.26047805232656
"TESPA1"	"TESPA1"	1.24143254579738	-1.24143254579738	"IS01"	1.24143254579738
"GRAP2"	"GRAP2"	1.20982931209569	-1.20982931209569	"IS01"	1.20982931209569
"ACKR1"	"ACKR1"	1.16256297715276	-1.16256297715276	"IS01"	1.16256297715276
"KRT1"	"KRT1"	1.15091054320251	-1.15091054320251	"IS01"	1.15091054320251
"P2RX1"	"P2RX1"	1.13008323643445	-1.13008323643445	"IS01"	1.13008323643445
"C1orf186"	"C1orf186"	1.1242824005701	-1.1242824005701	"IS01"	1.1242824005701
"IL5RA"	"IL5RA"	1.10230920660682	-1.10230920660682	"IS01"	1.10230920660682
"SIGLEC8"	"SIGLEC8"	1.0962707790987	-1.0962707790987	"IS01"	1.0962707790987
"CSF2RB"	"CSF2RB"	1.08782559676121	-1.08782559676121	"IS01"	1.08782559676121
"BTK"	"BTK"	1.04488152939817	-1.04488152939817	"IS01"	1.04488152939817
"SLC18A2"	"SLC18A2"	0.990941513423535	-0.990941513423535	"IS01"	0.990941513423535
"HPGD"	"HPGD"	0.971479818338542	-0.971479818338542	"IS01"	0.971479818338542
"UNC13D"	"UNC13D"	0.963987278506696	-0.963987278506696	"IS01"	0.963987278506696
"RAB37"	"RAB37"	0.960926526776929	-0.960926526776929	"IS01"	0.960926526776929
"ERVFRD.1"	"ERVFRD.1"	0.911357262071556	-0.911357262071556	"IS01"	0.911357262071556
"PRG2"	"PRG2"	0.911243044209669	-0.911243044209669	"IS01"	0.911243044209669
"DHRS9"	"DHRS9"	0.897419292502545	-0.897419292502545	"IS01"	0.897419292502545
"TPSD1"	"TPSD1"	0.895815261034142	-0.895815261034142	"IS01"	0.895815261034142
"TLDC2"	"TLDC2"	0.885710191428437	-0.885710191428437	"IS01"	0.885710191428437
"SVOPL"	"SVOPL"	0.856940187226892	-0.856940187226892	"IS01"	0.856940187226892
"ADCYAP1"	"ADCYAP1"	0.838041394084464	-0.838041394084464	"IS01"	0.838041394084464
"ADM5"	"ADM5"	0.83108809615988	-0.83108809615988	"IS01"	0.83108809615988
"ALOX5"	"ALOX5"	0.817774218533495	-0.817774218533495	"IS01"	0.817774218533495
"RAB3C"	"RAB3C"	0.762707835615453	-0.762707835615453	"IS01"	0.762707835615453
"VWA5A"	"VWA5A"	0.751368740968329	-0.751368740968329	"IS01"	0.751368740968329
"AVPR2"	"AVPR2"	0.721407027980154	-0.721407027980154	"IS01"	0.721407027980154
"CCNI2"	"CCNI2"	0.708091035049975	-0.708091035049975	"IS01"	0.708091035049975
"C1orf228"	"C1orf228"	0.706552363053587	-0.706552363053587	"IS01"	0.706552363053587
"LINC00694"	"LINC00694"	0.698726716904408	-0.698726716904408	"IS01"	0.698726716904408
"RASGRP4"	"RASGRP4"	0.68761724800475	-0.68761724800475	"IS01"	0.68761724800475
"LYL1"	"LYL1"	0.664314641948758	-0.664314641948758	"IS01"	0.664314641948758
"GFI1B"	"GFI1B"	0.660685430867006	-0.660685430867006	"IS01"	0.660685430867006
"RP11.872D17.8"	"RP11.872D17.8"	0.642622171944665	-0.642622171944665	"IS01"	0.642622171944665
"GSDMC"	"GSDMC"	0.638003961071659	-0.638003961071659	"IS01"	0.638003961071659
"SLC45A3"	"SLC45A3"	0.633756850238113	-0.633756850238113	"IS01"	0.633756850238113
"HPGDS"	"HPGDS"	0.626085125005511	-0.626085125005511	"IS01"	0.626085125005511
"KRT2"	"KRT2"	0.605672584288333	-0.605672584288333	"IS01"	0.605672584288333
"NNMT"	"NNMT"	0.60051303237773	-0.60051303237773	"IS01"	0.60051303237773
"UBXN10"	"UBXN10"	0.599357226235957	-0.599357226235957	"IS01"	0.599357226235957
"CCL13"	"CCL13"	0.568805226546522	-0.568805226546522	"IS01"	0.568805226546522
"GSDMA"	"GSDMA"	0.555350022554894	-0.555350022554894	"IS01"	0.555350022554894
