"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"CLEC5A"	"CLEC5A"	1.34499914255144	0.314550621526592	0.0324786475801	-0.769973180663709	-0.502725449757831	"S01"	1.34499914255144	"IS01"
"RPF1"	"RPF1"	1.10016298134292	0.0123776174104942	-0.198873862127082	-0.4230867740152	-0.221223707029594	"S01"	1.10016298134292	"IS01"
"PLAUR"	"PLAUR"	1.08823021755428	0.438253199606805	0.116871021839283	-0.462288863418368	-0.682906334173976	"S01"	1.08823021755428	"IS01"
"SLC11A1"	"SLC11A1"	1.07431441412774	0.666383703639307	0.263159269447691	-0.52287526953019	-0.881162593630034	"S01"	1.07431441412774	"IS01"
"CACNA2D4"	"CACNA2D4"	1.04663615147783	0.735033949941688	0.602180238138906	-0.382417283272655	-1.27886005463954	"S01"	1.04663615147783	"IS01"
"SRSF9"	"SRSF9"	1.03558494242568	-0.890681409762824	-0.13364626152014	-0.110905565695152	0.0399446699970741	"S01"	1.03558494242568	"IS01"
"ATP1A1"	"ATP1A1"	0.970632552131173	-0.352058496006343	0.224129711314316	-0.357496803213492	-0.353906881383572	"S01"	0.970632552131173	"IS01"
"LSM8"	"LSM8"	0.943180574342578	-0.0896862864066607	0.141452024158066	-0.202986811333986	-0.503789421996083	"S01"	0.943180574342578	"IS01"
"IRAK2"	"IRAK2"	0.934082488461331	-0.462060116346987	0.435959557538824	-0.24644241814551	-0.525069328156229	"S01"	0.934082488461331	"IS01"
"PDLIM4"	"PDLIM4"	0.933469151252812	-0.184035584929472	-0.113464837386544	-0.47431228588431	-0.0588785137779107	"S01"	0.933469151252812	"IS01"
"PFDN2"	"PFDN2"	0.929181255207305	0.345192032087305	-0.280976654316189	-0.572923351855663	-0.130388141301363	"S01"	0.929181255207305	"IS01"
"IER3"	"IER3"	0.928469997195988	0.0560965369939718	0.0760516475793999	-0.629156262268166	-0.24572533971679	"S01"	0.928469997195988	"IS01"
"MEIKIN"	"MEIKIN"	0.927546628961795	0.540282979872761	0.214448063542111	-0.776233646970165	-0.525194556641969	"S01"	0.927546628961795	"IS01"
"RAN"	"RAN"	0.925167470311569	-0.397945380740351	0.189823287368559	-0.704279794764037	-0.0533218709530146	"S01"	0.925167470311569	"IS01"
"SLC20A1"	"SLC20A1"	0.919154159739894	-0.407814916630411	0.141053988442923	-0.435521099029134	-0.17365465493833	"S01"	0.919154159739894	"IS01"
"TMEM206"	"TMEM206"	0.906567403300261	-0.478441350428035	0.529383031974256	-0.820355328989815	-0.21526933813399	"S01"	0.906567403300261	"IS01"
"NDUFA12"	"NDUFA12"	0.904529526631231	0.00612224124142876	0.300894371642112	-0.328662827945391	-0.587409928569896	"S01"	0.904529526631231	"IS01"
"NMB"	"NMB"	0.901791233400772	0.472500687991647	-0.155799609270129	-0.458642491088676	-0.360488040368042	"S01"	0.901791233400772	"IS01"
"TREM2"	"TREM2"	0.875705479669011	0.824168974462604	0.462624251593016	-0.727711957298795	-0.886419420786101	"S01"	0.875705479669011	"IS01"
"PFKFB4"	"PFKFB4"	0.875233395983777	-0.466632603532597	0.107013077753743	-0.834125552869631	0.16551518072797	"S01"	0.875233395983777	"IS01"
"CCDC71L"	"CCDC71L"	0.846232656026917	0.254614627031994	0.415214963193181	-0.575256565950276	-0.624760349287665	"S01"	0.846232656026917	"IS01"
"ADM"	"ADM"	0.819644724606296	-0.0749188510595363	-0.250758952631832	0.342502333328851	-0.450635639823603	"S01"	0.819644724606296	"IS01"
"SEC14L2"	"SEC14L2"	0.809868013938092	-0.275247423194435	0.0534626613520478	-0.402112691383678	-0.12540641787161	"S01"	0.809868013938092	"IS01"
"GPR137B"	"GPR137B"	0.795995819771104	-0.336210627418531	0.719032683787034	-0.361766385017675	-0.677409341059463	"S01"	0.795995819771104	"IS01"
"NIM1K"	"NIM1K"	0.788404506897634	-0.607280396380638	-0.202287093994028	0.0050999271077892	0.0218120673464318	"S01"	0.788404506897634	"IS01"
"RAB7A"	"RAB7A"	0.781349817196519	-0.928868666006373	0.710984566845703	0.112833584837712	-0.650408439329976	"S01"	0.781349817196519	"IS01"
"PIGF"	"PIGF"	0.780495874868814	-0.827350590001844	-0.0607833252981792	-0.359158711513917	0.253424565986403	"S01"	0.780495874868814	"IS01"
"SLC25A5"	"SLC25A5"	0.763135955350345	-0.145034986200907	0.574803008501531	-0.611295181047043	-0.477558209591499	"S01"	0.763135955350345	"IS01"
"COMT"	"COMT"	0.761977046467853	-0.150540810110784	0.655912546607805	-0.078321941025806	-0.881432391429031	"S01"	0.761977046467853	"IS01"
"SPP1"	"SPP1"	0.753062249591804	0.198045318399442	0.0125590548079804	0.0507769635894696	-0.594215559512731	"S01"	0.753062249591804	"IS01"
"SEP15"	"SEP15"	0.748344589629062	-0.895989957846858	0.179927274833849	0.217439884601807	-0.262355660601372	"S01"	0.748344589629062	"IS01"
"PHC2"	"PHC2"	0.743481284747388	-0.316324906349902	0.0624723254957179	-0.291024819861957	-0.142546942058196	"S01"	0.743481284747388	"IS01"
"C1orf43"	"C1orf43"	0.736121485913212	-0.975550530318003	0.239960314047338	-0.288348707859433	0.0568982867111888	"S01"	0.736121485913212	"IS01"
"SDC4"	"SDC4"	0.71198983150159	0.0131558837847578	0.0825290185387605	-0.420326401458332	-0.232740934515657	"S01"	0.71198983150159	"IS01"
