"TCGA.DX.A3LS"	"TCGA.DX.A6YQ"	"TCGA.DX.A6YR"	"TCGA.DX.A6YX"	"TCGA.DX.A8BM"	"TCGA.DX.A8BP"	"TCGA.DX.A8BS"	"TCGA.DX.AATS"	"TCGA.DX.AB2E"	"TCGA.DX.AB2P"	"TCGA.DX.AB2X"	"TCGA.HB.A2OT"	"TCGA.LI.A67I"	"TCGA.MB.A5Y8"	"TCGA.QC.A6FX"	"TCGA.QC.AA9N"	"TCGA.RN.AAAQ"	"TCGA.SG.A6Z4"	"TCGA.SI.A71O"	"TCGA.SI.AA8B"	"TCGA.WK.A8Y0"	"TCGA.X6.A8C2"	"TCGA.X9.A973"	"TCGA.3B.A9HI"	"TCGA.DX.A3LT"	"TCGA.DX.A3LU"	"TCGA.DX.A3M2"	"TCGA.DX.A6BF"	"TCGA.DX.A7ET"	"TCGA.DX.A8BH"	"TCGA.DX.A8BK"	"TCGA.DX.A8BL"	"TCGA.DX.A8BN"	"TCGA.DX.A8BO"	"TCGA.DX.AB2G"	"TCGA.DX.AB2W"	"TCGA.MB.A5Y9"	"TCGA.QC.A7B5"	"TCGA.QQ.A5V2"	"TCGA.QQ.A5V9"	"TCGA.WK.A8XO"	"TCGA.X6.A7W8"	"TCGA.Z4.AAPG"	"TCGA.3B.A9HJ"	"TCGA.3B.A9HO"	"TCGA.DX.A1KZ"	"TCGA.DX.A1L1"	"TCGA.DX.A1L4"	"TCGA.DX.A23T"	"TCGA.DX.A23V"	"TCGA.DX.A23Y"	"TCGA.DX.A2J1"	"TCGA.DX.A3LY"	"TCGA.DX.A3U5"	"TCGA.DX.A3U6"	"TCGA.DX.A6BE"	"TCGA.DX.A6BG"	"TCGA.DX.A6YU"	"TCGA.DX.A7ES"	"TCGA.DX.A8BG"	"TCGA.DX.A8BQ"	"TCGA.DX.A8BR"	"TCGA.DX.A8BX"	"TCGA.DX.AB2S"	"TCGA.DX.AB2T"	"TCGA.DX.AB2Z"	"TCGA.DX.AB32"	"TCGA.DX.AB37"	"TCGA.IE.A4EJ"	"TCGA.K1.A6RU"	"TCGA.QQ.A5VA"	"TCGA.QQ.A8VG"	"TCGA.RN.A68Q"	"TCGA.SG.A849"	"TCGA.SI.A71P"	"TCGA.UE.A6QT"	"TCGA.UE.A6QU"	"TCGA.VT.A80J"	"TCGA.VT.AB3D"	"TCGA.X6.A8C3"
"CLEC5A"	-0.349556032348869	1.22743115113516	0.968226369548363	0.873730405739902	0.258837106675292	1.28502140953068	1.21864668537713	1.29165303515193	1.19328426426491	1.21217827922142	1.30189798319146	1.69683670356292	1.34859237707216	1.47763503623563	1.3370654234101	1.54426655427631	1.52163548744029	1.33623523433767	1.21367863028028	0.298947300850357	1.19686614512984	1.39686105821498	1.43465315790343	1.27508950773138	1.22021583906112	-1.01666171624308	-0.830416563468954	-0.0652681660479103	1.20640844545302	1.22447990640014	-0.119996359358019	-1.01666171624308	-1.01666171624308	-0.605004759375458	-0.517760978734734	1.23028741080979	-0.203323227171904	-0.528248658745927	1.249948513991	1.30936138741672	1.24486545767936	1.20348693714867	0.224518320390172	-1.01666171624308	-1.01666171624308	1.22203299151464	-0.977803076800006	1.58400621845774	1.20315312169636	-0.97578666754228	-0.744648312937689	0.468112865303267	-0.10681809456241	-1.01666171624308	-0.565847754787946	1.19745844964882	-1.01666171624308	0.128424874723376	-1.01666171624308	-0.907910778444437	0.818732935256757	-0.953061919125885	-0.768351569363699	0.397365194101879	0.596636106510529	0.590947972141324	0.0346182166300949	-0.236515950930383	-1.01666171624308	-1.01666171624308	1.39275200087527	1.33093936854016	1.43505792699637	1.23539807821504	0.709465681945465	-1.01666171624308	-0.422487548881859	1.37467626420217	-0.251678591110676	0.235526089854227
"RPF1"	-0.671242202764443	1.58319728133104	1.07413159401379	1.63664521606965	1.15341933890205	1.21594175032905	1.52359430079812	0.628788637982648	1.54837265276004	1.31123695679869	1.7591260426363	0.632192668401274	1.58283345595947	1.30468146216341	-0.253699388665223	1.90488366879706	-0.938655795229708	1.3886583754743	1.1044646484618	1.99779503229703	1.05442404959391	-0.150088527984599	-0.890784131750945	-0.376229510944349	1.14918123869613	-1.344157489978	-0.545701573518361	-0.90817802696394	0.654418932382027	-0.617258432311222	0.977359483463326	0.949507397373937	0.4669695088495	-0.193743174002872	-0.5943094244752	1.01094835396211	-1.10869523882559	0.947941981761154	-1.40395873121016	1.06438216866214	-0.394755234116933	-0.62736302706795	1.10883336239449	0.00902510163909673	-1.06012947728232	-1.37918592798686	0.303410569481601	-1.1066410361215	-1.33796919680861	-0.367257975208715	0.0974924620998946	-1.32605651534615	-1.21713642535879	-0.19123091259995	-0.300282039104993	-1.00674969810409	-0.7806165266239	1.06693875589798	-1.12110138835891	-1.18801533192256	-0.418733338499713	0.127721484757629	-1.19013112290371	-0.260151752055733	1.01244621158247	1.13838764231376	-0.0410839982195102	-1.32117994917799	1.00734360735573	0.646183318319267	-0.378564917876377	-0.4431303329151	-0.666127188406215	1.41349914144486	1.06294519923906	1.0367567934313	0.329254926793698	1.25377590996276	-0.0453672061301308	1.06279435982074
"PLAUR"	0.1886786671622	0.997290874330209	-0.501835697192882	1.8583793178072	-0.925948167917776	1.35765677661112	-0.0921177039460154	1.19099744959539	2.24946916935417	1.05631873023453	1.44035619195747	1.95913076364671	-0.247282982425699	1.24160647806849	1.99426865641348	1.05258716264996	0.703044264758694	0.625699679062671	1.90806622290069	-0.145146611120401	1.19688458489605	1.03995951190962	1.11865790625911	1.25959365904363	0.0382250458505993	-0.676454600876174	-0.323379201086098	0.595602946063806	1.18669648423685	1.13091998608383	0.0462122080724467	0.966137735734145	-1.01053516382339	0.29464696985507	-0.533494817525559	1.51978656262214	-0.623471795705923	-0.590714424360336	-0.960811398820042	1.13459831635413	1.7146037360893	1.09191175223215	1.35922999312339	-0.942895392123944	-0.246608001665728	-0.131071082438798	1.11702144038147	1.60484831444536	-0.270811672485473	-0.877209009686543	-0.554191979698265	1.37796440161415	-0.0885774552690791	0.30983757415869	-0.889304966462403	-0.0862897842105547	1.25813140916156	-0.76419687116462	-0.876751106412924	-0.360395556017643	1.16648894670696	-0.290692916951305	1.10713585567247	-0.691824758590487	-0.722935290887889	1.42089692624217	-0.496720546611495	-0.898749299446348	-0.346572428905762	-0.917921615104529	1.02043349230758	0.179068649446318	-0.762092413940362	1.54285865154109	1.35121449080848	-0.995972480110526	-0.420108714880214	1.70935752882847	-0.838783561966733	1.58391873831933
"SLC11A1"	1.06606493731418	0.146685847615608	0.0410016313287868	0.687143310863935	1.06131989254583	1.10394403180441	0.531907520183994	1.11677255395504	1.08617724969878	0.368139590722169	0.428696568041952	1.41165633341898	1.19273028309965	0.523349090945111	1.16505385019733	1.28268216622395	1.52056515262494	1.13738343041535	0.813814495211287	0.65261104198315	1.21884678975688	1.07845929722814	1.35976681875478	0.698792195868037	1.01639590165524	-1.49177940920926	1.14624359177363	1.3080440415841	1.08666786379248	0.24340289775305	1.04711065263886	-0.328508410499757	-0.431487131160013	1.0572379946612	0.84680855099925	1.21314355731427	1.03504698591117	-1.1520015914708	-0.284338241208227	1.33232553052682	1.03107898388728	1.17808326040022	1.03322723021093	-1.45590609231309	-1.4211918907859	1.15422775647858	-0.166004463633277	1.33746839757907	1.21054872195269	1.11613552527613	-1.48057898194902	1.27350595969393	1.11579402403464	-0.18709986320314	1.14876373962472	1.04851026009744	0.147735432880263	1.16856272986203	-0.38844977613168	0.0345300370110545	-0.638970643981717	1.16460104816147	1.3623185685926	-1.18150380710832	-0.880164093576551	1.10468790664965	1.04070601334246	-0.0940156097902267	-0.906892927335523	-0.922118763229954	-0.194474041833107	1.23801780510037	1.42654439926917	-0.373033373214738	1.45778604335792	-1.34483767220058	-0.957511021366099	1.23437780117611	-1.03380483889134	0.223955196740508
"CACNA2D4"	1.26555374704336	-0.609973596377835	1.25823722982193	1.36539901257017	-1.0377657755429	-0.378370695383531	-0.402253644488454	1.30710362347907	1.6009601591327	1.26225717842371	1.24479898496806	1.43824637648615	1.24679868807722	1.51612175829302	1.28171805501523	-0.257644984648363	1.96488105172831	1.26943305122598	-0.165474391659169	1.27057237291823	1.35657944489109	1.3288800097746	1.32781223260904	-0.518560098096677	1.34502343016958	-1.00277031228717	1.25931177149709	1.31996800235194	0.354799088034314	0.0425001177267948	-0.359275389083181	-0.904214493016599	1.28611032758062	-0.802467614065752	0.525589336004451	1.23793371041912	1.25998651527351	1.36462500544096	1.46444412676666	0.853391827255996	1.28104091624918	1.26868171312394	1.50290363202051	0.413747289869329	-0.4463598599287	-0.289281850202118	0.00625159117891679	1.30660297189534	-0.363334197770692	-0.339959446265416	-0.693804728794749	1.37716855359728	1.28754008857367	0.24732422148391	-0.306381819821751	-0.152891774430106	-0.375338076683895	1.24921290064896	-0.17958106584108	1.29079690886712	1.28869145385454	1.26520391585367	1.28029917714059	-0.166887889616435	-0.00142298555161503	1.30405765573366	1.26226435369713	1.24617469190396	-0.639115591448879	-0.268562603076948	1.30929566459308	1.57214790077513	1.3820649739358	1.2307154966455	1.73849617373068	-1.06920936582133	-0.835241497968797	1.30847181882597	0.0730884488671483	-0.419710282160092
"SRSF9"	-0.723165603421613	1.27330048646964	1.08184413600603	1.36458801664592	-0.733866314460187	-0.19577464712182	1.14731008499545	1.57405193179801	1.04867516862308	-0.148721044027091	1.31149596093272	1.46691844202088	0.876370840551119	0.882942158214997	1.30095734640266	1.63036024187612	0.931815681601781	1.2087014514531	1.66483036258538	1.07001328860969	0.28625254268397	0.378479765454958	1.54052151813661	-1.05379695611852	-0.0991341156172047	-1.28121686104915	-1.49367668574966	-1.28137053111017	-1.42500912170985	1.15238817335612	-1.26508126348123	-0.784988225491154	-0.755076110172652	-0.947040840282652	-0.348063638915221	0.358010762825247	-1.47719761123337	-0.552488922754624	-1.60703548328221	-1.21769170578233	0.200783670457004	-1.33372221156936	-0.273641668522249	0.769469817494047	-0.605598345950858	-0.787236298108551	-0.0979575337144015	-0.705385914880927	-1.05372919714072	0.943609373170074	-1.28452399180171	-1.15488557380811	-1.32111962308494	1.45134944274825	-0.828868982166429	-0.839490038818329	-0.231391745473537	-0.199783579460783	-0.880410123818106	-1.2591218977441	0.997862190792232	-0.581832224264156	1.6733366304366	-0.824862051423042	-1.06350056921776	0.588895063270697	0.105243562350155	-1.02443979618522	1.29519304391597	1.11890400134779	-0.403418765976756	0.0505067303011196	-1.09618535995116	1.01234643450937	0.606697401304223	-0.731415757765758	1.166615477268	1.00742269760344	-0.112429296149364	0.551051438011009
"ATP1A1"	-0.277054730107944	1.13724421812004	1.24107379202277	0.330051282239464	1.43165808616863	-1.08605216373334	1.77282789272613	1.06123705765969	1.60782100710045	-0.325608680827658	1.1646112076597	1.31922651533084	0.079948448094034	1.18415933916059	1.63882159727531	1.71163897112416	1.82285525013202	-1.0728329319789	1.29898429378084	1.27187993387348	-0.606264164310172	1.2290961835961	1.03324838490801	-0.282999608415983	0.991541205194486	-1.36507914251856	-1.42646507998454	-1.22489781725465	-1.14547567562363	1.40812114168776	-0.967216017759294	-0.970777898271579	1.29050610348911	-1.11836793126436	-0.937184605383994	1.47062833490105	-1.19721127155835	0.407799033591708	-1.40349431977585	0.0584498468012779	0.0200989277159533	0.213751982665022	0.057517240281436	-0.873341944188541	-1.14072194451039	1.2489192107789	-0.22699262720129	0.250667232751209	-0.35327877511616	-0.976143769867347	1.06046043420778	-0.911170786583691	-0.251445798257856	-0.362145359964911	0.302789673981759	1.48117014794213	-0.768832663775815	1.07252080948658	-0.130816098343031	-0.379633912033809	1.25325158297138	-0.408607596770587	-1.02835545806276	-0.970468216147946	1.05900297083036	0.595522272438229	1.10184494186266	-1.12601946558317	1.03435379535845	1.10115177815438	-0.53124369723792	2.14134472350969	-0.988077913634894	1.64950590577882	1.32961751195333	0.942636270515639	-1.11561280724916	1.36262280368201	-0.771696648104278	0.614574533822412
"LSM8"	-0.408681195575784	1.31985094149314	1.22352645838276	1.38957579922266	0.149523331587625	-0.50803539276853	1.27894561438536	1.64847126785884	-0.334232860727499	-0.00781705316316931	1.57887433775429	0.751796221361414	0.776420557935652	0.95543534612494	-0.10580507165234	1.74015428297717	1.49954390975625	0.147691033625047	0.896803957085992	-0.190190842597173	1.68811007263759	1.59782535700227	1.34430488993604	0.78587437521984	-0.284603455074269	-1.27734261332395	-1.24965143488111	-1.39553991395974	-1.50420060734532	1.41378314924622	0.876794851221002	-1.00278944298125	0.510261818008281	1.27790540349763	-0.670596758466337	1.35434583615195	0.639628320146539	0.948735437898169	-1.02118864207944	0.16788170638081	-0.496379845385558	-0.935845039081143	0.303675078064426	1.44865572452235	-1.16074765286774	-0.999773061835849	0.991667141596999	-0.928359818634493	-1.2862230713557	-1.02940956103952	-0.952333944862021	-0.214889523496087	-1.07978714035004	1.28377320602033	0.567210587328786	0.164369173563242	-0.0393632172057447	-0.747546294791027	0.317622587498647	-0.957406889662537	1.69584675341251	1.41863363629512	0.809530132002735	1.20649123412785	0.987691108140649	0.513757450146481	1.03561472120495	-1.1332275234811	0.434131339771382	0.190166889630098	1.54873048370242	-0.414109804206256	-0.993036141589606	1.43385880286137	-0.60739837858445	-0.886181612561621	1.49678745704988	1.50122979786075	-0.785371449461169	-0.862550280056024
"IRAK2"	1.1358478574577	0.841557828454726	-0.416512394201384	2.14481777784325	1.35180786386165	1.33253688570765	0.103089153012119	1.24806243727948	1.5533611546279	0.228712547962029	1.14640307757037	1.19086414476201	-0.443807656857638	-0.727117992712625	-0.905386926101009	1.68831225589713	1.1127832173946	1.16715506913753	1.58140934023917	1.16061850122983	1.38071401407566	1.32866218032907	-0.949598568999393	1.34727271622986	1.13999702766756	-1.15909847127249	-1.20751745652456	-1.07492956725308	-1.04144979645908	-0.516796749499752	-1.09208416979401	-0.281134941520572	-1.17597099885491	0.0158354582870907	-1.11137953644915	1.26915895524296	-1.14605624338682	-0.665043637574122	-1.18497986065764	-0.779580981379783	1.18569539989159	-0.592872751554375	0.0377335820966967	1.21440163085459	-1.05470104991227	-0.799008258278193	1.11960469418063	-0.809909205854715	-0.307552554400626	-0.653292268317376	1.15052275875991	-0.979693680763555	-1.05917061226283	-0.836440197330041	-0.763797494362842	-0.38549391265597	1.12001709288854	1.32707140753971	0.713586487834311	1.2239578077129	1.42230720018672	-0.0309326899040703	-1.1465254208382	1.21407172904354	1.24349070823813	1.28132304158449	1.15096638285326	-1.05076613317009	-0.565836977681366	-0.238477728281885	0.327049986815014	-0.180539576318179	-0.0183326579647355	1.87207779502139	1.87098007797778	1.1671770133822	0.475412232710348	1.93047864860579	0.0539836603957325	1.23165294378149
"PDLIM4"	0.128980741644625	1.31354310390495	-0.565690902467472	1.48593968359607	1.28824489496962	1.34743228405733	0.472466368230634	-0.637693066804775	-1.19390783439633	1.29343891017622	1.24894170810903	1.34066837994082	1.28147834653392	1.37670547392616	-1.0123416903234	1.29138908264464	2.19018452432157	1.23423111987593	1.49206319317886	1.19672182931356	-1.01802824009622	1.43312524795493	1.2544124773035	-0.930211692767924	1.3467949150507	-0.59849667824653	-0.930729117668252	-0.959784301119062	-0.249971933293191	0.0329583122161495	1.2938088986648	-1.0796438998311	-0.922354192218821	-0.118410703350269	-0.736920325173448	1.24657031636932	-0.51302244162088	-1.16980927657121	-0.951779665792455	-0.492500301054869	1.33369108767512	-0.160533295069016	1.36077137934083	-0.945090668284653	1.25101998888854	0.0178152142092273	-1.14415948952302	-0.00946466427726419	-1.03754290174774	0.00857363840965716	-0.476590890099561	-0.71350972979383	1.31982566268808	-0.85643483822272	0.067917776226611	0.0547144264781311	-0.466456435209893	-0.360142670684663	-0.639709537714286	-1.07082384123352	1.40698431128712	-1.08544059398877	-0.293900070994315	-0.94503672207455	-0.134986770154938	0.590342619539294	-0.644502645703838	-1.00992595430677	1.44782407580879	-0.920784270143283	-0.283773545267722	1.76940968537321	1.68382870634769	-1.09702423377414	2.03695918779269	1.22562697333174	-0.181915107868018	-0.699682958970652	-0.992399544184407	-0.0544924309363263
