"ID"	"State"
"TCGA.DX.A3LS"	"IS01"
"TCGA.DX.A6YQ"	"IS01"
"TCGA.DX.A6YR"	"IS01"
"TCGA.DX.A6YX"	"IS01"
"TCGA.DX.A8BM"	"IS01"
"TCGA.DX.A8BP"	"IS01"
"TCGA.DX.A8BS"	"IS01"
"TCGA.DX.AATS"	"IS01"
"TCGA.DX.AB2E"	"IS01"
"TCGA.DX.AB2P"	"IS01"
"TCGA.DX.AB2X"	"IS01"
"TCGA.HB.A2OT"	"IS01"
"TCGA.LI.A67I"	"IS01"
"TCGA.MB.A5Y8"	"IS01"
"TCGA.QC.A6FX"	"IS01"
"TCGA.QC.AA9N"	"IS01"
"TCGA.RN.AAAQ"	"IS01"
"TCGA.SG.A6Z4"	"IS01"
"TCGA.SI.A71O"	"IS01"
"TCGA.SI.AA8B"	"IS01"
"TCGA.WK.A8Y0"	"IS01"
"TCGA.X6.A8C2"	"IS01"
"TCGA.X9.A973"	"IS01"
"TCGA.3B.A9HI"	"IS02"
"TCGA.DX.A3LT"	"IS02"
"TCGA.DX.A3LU"	"IS02"
"TCGA.DX.A3M2"	"IS02"
"TCGA.DX.A6BF"	"IS02"
"TCGA.DX.A7ET"	"IS02"
"TCGA.DX.A8BH"	"IS02"
"TCGA.DX.A8BK"	"IS02"
"TCGA.DX.A8BL"	"IS02"
"TCGA.DX.A8BN"	"IS02"
"TCGA.DX.A8BO"	"IS02"
"TCGA.DX.AB2G"	"IS02"
"TCGA.DX.AB2W"	"IS02"
"TCGA.MB.A5Y9"	"IS02"
"TCGA.QC.A7B5"	"IS02"
"TCGA.QQ.A5V2"	"IS02"
"TCGA.QQ.A5V9"	"IS02"
"TCGA.WK.A8XO"	"IS02"
"TCGA.X6.A7W8"	"IS02"
"TCGA.Z4.AAPG"	"IS02"
"TCGA.3B.A9HJ"	"IS03"
"TCGA.3B.A9HO"	"IS03"
"TCGA.DX.A1KZ"	"IS03"
"TCGA.DX.A1L1"	"IS03"
"TCGA.DX.A1L4"	"IS03"
"TCGA.DX.A23T"	"IS03"
"TCGA.DX.A23V"	"IS03"
"TCGA.DX.A23Y"	"IS03"
"TCGA.DX.A2J1"	"IS03"
"TCGA.DX.A3LY"	"IS03"
"TCGA.DX.A3U5"	"IS03"
"TCGA.DX.A3U6"	"IS03"
"TCGA.DX.A6BE"	"IS03"
"TCGA.DX.A6BG"	"IS03"
"TCGA.DX.A6YU"	"IS03"
"TCGA.DX.A7ES"	"IS03"
"TCGA.DX.A8BG"	"IS03"
"TCGA.DX.A8BQ"	"IS03"
"TCGA.DX.A8BR"	"IS03"
"TCGA.DX.A8BX"	"IS03"
"TCGA.DX.AB2S"	"IS03"
"TCGA.DX.AB2T"	"IS03"
"TCGA.DX.AB2Z"	"IS03"
"TCGA.DX.AB32"	"IS03"
"TCGA.DX.AB37"	"IS03"
"TCGA.IE.A4EJ"	"IS03"
"TCGA.K1.A6RU"	"IS03"
"TCGA.QQ.A5VA"	"IS03"
"TCGA.QQ.A8VG"	"IS03"
"TCGA.RN.A68Q"	"IS03"
"TCGA.SG.A849"	"IS03"
"TCGA.SI.A71P"	"IS03"
"TCGA.UE.A6QT"	"IS03"
"TCGA.UE.A6QU"	"IS03"
"TCGA.VT.A80J"	"IS03"
"TCGA.VT.AB3D"	"IS03"
"TCGA.X6.A8C3"	"IS03"
"TCGA.3B.A9HL"	"IS04"
"TCGA.DX.A1KU"	"IS04"
"TCGA.DX.A1KW"	"IS04"
"TCGA.DX.A1KX"	"IS04"
"TCGA.DX.A1L0"	"IS04"
"TCGA.DX.A1L2"	"IS04"
"TCGA.DX.A1L3"	"IS04"
"TCGA.DX.A23Z"	"IS04"
"TCGA.DX.A2J4"	"IS04"
"TCGA.DX.A3M1"	"IS04"
"TCGA.DX.A48N"	"IS04"
"TCGA.DX.A6YT"	"IS04"
"TCGA.DX.A6YZ"	"IS04"
"TCGA.DX.A6Z0"	"IS04"
"TCGA.DX.A7EU"	"IS04"
"TCGA.DX.A8BT"	"IS04"
"TCGA.DX.A8BV"	"IS04"
"TCGA.DX.AB2F"	"IS04"
"TCGA.DX.AB2L"	"IS04"
"TCGA.DX.AB2V"	"IS04"
"TCGA.DX.AB35"	"IS04"
"TCGA.FX.A3NK"	"IS04"
"TCGA.IF.A3RQ"	"IS04"
"TCGA.MJ.A68J"	"IS04"
"TCGA.X6.A8C6"	"IS04"
"TCGA.3R.A8YX"	"IS05"
"TCGA.DX.A1KY"	"IS05"
"TCGA.DX.A23R"	"IS05"
"TCGA.DX.A23U"	"IS05"
"TCGA.DX.A240"	"IS05"
"TCGA.DX.A2IZ"	"IS05"
"TCGA.DX.A2J0"	"IS05"
"TCGA.DX.A3LW"	"IS05"
"TCGA.DX.A6BH"	"IS05"
"TCGA.DX.A6YS"	"IS05"
"TCGA.DX.A6YV"	"IS05"
"TCGA.DX.A7EF"	"IS05"
"TCGA.DX.A7EI"	"IS05"
"TCGA.DX.A7EO"	"IS05"
"TCGA.DX.A7EQ"	"IS05"
"TCGA.DX.A7ER"	"IS05"
"TCGA.DX.A8BJ"	"IS05"
"TCGA.DX.A8BU"	"IS05"
"TCGA.DX.AB2H"	"IS05"
"TCGA.DX.AB2J"	"IS05"
"TCGA.DX.AB2O"	"IS05"
"TCGA.DX.AB2Q"	"IS05"
"TCGA.DX.AB30"	"IS05"
"TCGA.DX.AB36"	"IS05"
"TCGA.DX.AB3A"	"IS05"
"TCGA.DX.AB3B"	"IS05"
"TCGA.DX.AB3C"	"IS05"
"TCGA.FX.A2QS"	"IS05"
"TCGA.FX.A3TO"	"IS05"
"TCGA.FX.A8OO"	"IS05"
