"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"APOL1"	"APOL1"	0.816666026299605	0.0259884773200615	-0.996253896075489	"IS01"	0.816666026299605
"LAMP1"	"LAMP1"	0.691963067034579	0.101998431408232	-0.925173896262087	"IS01"	0.691963067034579
"FCGR3B"	"FCGR3B"	0.655647167898161	0.47869567540534	-1.26376714987862	"IS01"	0.655647167898161
"VNN2"	"VNN2"	0.649816617385426	0.280502634261643	-1.05600464035425	"IS01"	0.649816617385426
"ATF5"	"ATF5"	0.629811227612992	-0.0514040471421762	-0.695909316799964	"IS01"	0.629811227612992
"PLAU"	"PLAU"	0.576269187210658	0.130981205167631	-0.817138854767848	"IS01"	0.576269187210658
"FPR2"	"FPR2"	0.568481744908655	0.542577331623652	-1.22497870114484	"IS01"	0.568481744908655
"XXbac.BPG116M5.17"	"XXbac.BPG116M5.17"	0.568092774174104	0.408701512485207	-1.08885441876018	"IS01"	0.568092774174104
"SLC12A8"	"SLC12A8"	0.505333933192322	0.199405759269185	-0.802229790140055	"IS01"	0.505333933192322
"FCAR"	"FCAR"	0.494862510235281	0.154651185999757	-0.744441539253331	"IS01"	0.494862510235281
"CLDN14"	"CLDN14"	0.416854547616138	0.150402451235376	-0.647489452924406	"IS01"	0.416854547616138
"SAMD9"	"SAMD9"	0.409235624645612	0.266152955240224	-0.755735921694933	"IS01"	0.409235624645612
"ZNF385A"	"ZNF385A"	0.392644146851958	0.0973439746172744	-0.564969302983467	"IS01"	0.392644146851958
"TMEM255B"	"TMEM255B"	0.361189760471469	0.183244902618027	-0.614659529267952	"IS01"	0.361189760471469
"PCID2"	"PCID2"	0.320434078472043	-0.267098417545255	-0.109902877753715	"IS01"	0.320434078472043
"TRIM7"	"TRIM7"	0.291095165929157	0.20943582115949	-0.557951658875645	"IS01"	0.291095165929157
"FBXO39"	"FBXO39"	0.247350459510377	-0.112294567643748	-0.179974274108109	"IS01"	0.247350459510377
"STC2"	"STC2"	0.152131222678082	-0.104331790835875	-0.074955575669725	"IS01"	0.152131222678082
"KCNH1"	"KCNH1"	0.00893137977826356	-0.0191298778246095	0.00877774541505686	"IS01"	0.00893137977826356
"PRR21"	"PRR21"	-1.16637803506763	1.80428105783369	-0.443101887682764	"IS02"	1.80428105783369
"OR6B2"	"OR6B2"	-1.14610668788824	1.77447711352532	-0.436975620834363	"IS02"	1.77447711352532
"KRTAP19.1"	"KRTAP19.1"	-1.071332913466	1.69986627860871	-0.450174695357789	"IS02"	1.69986627860871
"GPR139"	"GPR139"	-1.1198842594219	1.60262859296983	-0.293977110126403	"IS02"	1.60262859296983
"OR2AK2"	"OR2AK2"	-0.765639796739618	1.50890497998391	-0.619723503021878	"IS02"	1.50890497998391
"SPANXA2"	"SPANXA2"	-0.787397234935574	1.28266346514779	-0.364622558470649	"IS02"	1.28266346514779
"SPANXA1"	"SPANXA1"	-0.656808867101942	1.07199097225622	-0.306232864502201	"IS02"	1.07199097225622
"CCL7"	"CCL7"	0.0236609199611826	0.725790305235528	-0.763576622924012	"IS02"	0.725790305235528
"AL365273.1"	"AL365273.1"	0.226703734398206	0.668903476547581	-0.947075764627487	"IS02"	0.668903476547581
"ACSL4"	"ACSL4"	0.229419293725233	0.655676575799588	-0.936897509475589	"IS02"	0.655676575799588
"AQP9"	"AQP9"	0.287083001880157	0.636099132968067	-0.985543487267343	"IS02"	0.636099132968067
"MS4A6E"	"MS4A6E"	0.278554250962837	0.631242509795437	-0.970492829668503	"IS02"	0.631242509795437
"GFPT2"	"GFPT2"	0.242403461527594	0.617561422374619	-0.913694459883616	"IS02"	0.617561422374619
"TREM1"	"TREM1"	0.445875422625027	0.611733340972786	-1.14944337873225	"IS02"	0.611733340972786
"CXCL3"	"CXCL3"	0.374753219218863	0.424939361499796	-0.875687996989085	"IS02"	0.424939361499796
"ITGB3"	"ITGB3"	0.0891415615158488	0.41254791561086	-0.523922686460186	"IS02"	0.41254791561086
"SLAMF9"	"SLAMF9"	0.138769139132049	0.408389700456804	-0.578649491392038	"IS02"	0.408389700456804
"CCL26"	"CCL26"	0.324439181309256	0.40163826796628	-0.792320174948633	"IS02"	0.40163826796628
